model,k,max_loglik,AIC,delta_AIC,akaike_weight
no_prolif_no_shed,5,-1145.9055015356712,2301.8110030713424,0.0,1.0
Cell_num_prolif_cst_shed,7,-1321.547411414053,2657.094822828106,355.2838197567635,7.097391876009852e-78
Cell_num_prolif_no_shed,6,-1401.9362391202098,2815.8724782404197,514.0614751690773,2.3603096800627714e-112
