model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_cst_shed,7,-1182.8373098072725,2379.674619614545,0.0,0.9805016152264322
Cell_num_prolif_no_shed,6,-1187.755042470243,2387.510084940486,7.835465325941186,0.019498384773567808
no_prolif_no_shed,5,-1816.8779187959667,3643.7558375919334,1264.0812179773884,3.160090285877925e-275
