parameter,mean,sd,q2.5,q50,q97.5
fragment_rate,0.00320718209244076,0.002360556299558885,9.684169589582288e-05,0.002699931159545301,0.00889569337285797
heading_sigma,0.446507977963545,0.23167946233883416,0.010856033282287004,0.4627940421684589,0.7866269104003448
init_n_clusters,883.5738641982671,246.73300184921743,476.7130892624674,868.2516313569422,1373.5700019574008
p_merge,0.6539699347970838,0.18836449141982078,0.32093056351201504,0.6556308022234585,0.962551720625281
prolif_rate,0.009551386473962056,0.004563878680483272,0.0015644978842202166,0.009369718411072344,0.018242109110728363
speed_meanlog,1.045138714404406,0.3906481947927283,0.22821602368186913,1.0741771567712424,1.6295157867750878
speed_sdlog,0.796904764592745,0.40800611498985395,0.15016000571086388,0.799074486191743,1.4679089852057483
