parameter,mean,sd,q2.5,q50,q97.5
fragment_rate,0.0031127879438913,0.002188454987976383,0.00018078406905635972,0.002685386309932504,0.008289819382015695
heading_sigma,0.49575427829350627,0.2057747419698397,0.06522036377600364,0.5392038340176196,0.7883582268478228
init_n_clusters,971.5927782409437,309.38803919239297,417.6090028991884,1001.2495618681324,1472.9109557940108
p_merge,0.6128830024155173,0.23347206784689856,0.21007671099031944,0.6196877110281895,0.9652632287020362
prolif_rate,0.0060868192617981026,0.00276963900294929,0.0018289237931373538,0.005540094525384386,0.0119494073301902
speed_meanlog,0.05891590423732962,0.43512831385736983,-0.7833238886275816,0.08911526442804592,0.8241791241608618
speed_sdlog,0.851430647696059,0.4001836107109159,0.13412039828394276,0.8608803626835788,1.4259133690774695
