timestep,S0,S1,S2,SSNND_med
22,353.5,4.852899576,59.69306931,41.65323088363465
23,344.5,4.984034833,61.05370102,43.55307612712853
24,339.5,4.898379971,60.78645066,44.83350220094863
25,336.0,4.818452381,51.3452381,43.92176112820303
26,318.0,4.880503145,53.18553459,44.80777528048768
27,316.0,5.056962025,56.65506329,46.24831900216475
28,309.5,4.783521809,47.53311793,46.4605787949737
29,303.5,4.800658979,47.17957166,47.14737057913855
30,296.0,4.918918919,53.68918919,47.779294045175575
31,288.5,4.752166378,46.48526863,47.85648451603672
32,281.5,4.928952043,58.31438721,48.88909198242689
33,275.5,4.958257713,56.35208711,49.07089012357047
34,270.5,5.053604436,57.11645102,50.243118514125264
35,263.5,5.161290323,62.4743833,50.88275091630193
36,258.5,5.112185687,59.27852998,51.390624167722606
37,251.0,5.282868526,60.19123506,51.86236545456501
38,248.0,5.423387097,65.29435484,53.09627001767949
39,238.0,5.609243697,64.74369748,53.16065637677035
40,234.5,5.622601279,61.23454158,54.084737660863176
41,230.0,5.52173913,59.4173913,55.72627701669619
42,223.0,5.697309417,61.70179372,55.79108224933204
43,211.0,6.090047393,67.70616114,56.41996082416604
44,209.0,6.169856459,69.5430622,58.999496759713
45,204.5,6.261613692,70.36919315,60.87363380306185
46,201.5,6.255583127,72.75186104,60.681665327178266
47,190.0,6.381578947,74.99736842,62.05579196637359
48,188.0,6.670212766,81.94148936,62.95151537098066
49,180.5,6.947368421,87.01385042,62.881284010235554
50,180.5,6.994459834,88.71745152,63.29220892959894
51,175.0,7.197142857,95.54571429,62.87418942293168
52,174.0,7.49137931,108.5028736,62.353533459046616
53,167.5,7.788059701,115.2447761,63.40728987927116
54,160.0,8.3125,130.28125,65.89020257339608
55,156.0,8.474358974,132.9551282,65.56614764178403
56,153.0,8.797385621,148.9738562,66.64929764863362
57,147.0,9.37414966,169.3809524,67.51129373263831
58,141.0,9.815602837,188.4113475,68.35393217195393
59,139.0,9.90647482,189.9496403,70.77190670595746
60,136.5,10.15750916,195.2197802,69.64214246245258
61,134.5,10.23420074,190.3085502,71.9145122095025
62,130.5,10.6091954,198.0268199,72.69623537915125
63,128.5,10.88326848,208.540856,73.96127793201111
64,127.5,11.09019608,234.1019608,74.76312791667266
65,118.0,12.29661017,284.1864407,72.65463126911601
66,115.5,12.97402597,317.5021645,77.23433495911185
67,115.5,12.995671,309.3160173,78.698342535922
68,110.5,13.62443439,350.6199095,76.00215558483093
69,105.5,14.43127962,399.92891,78.27635245125285
70,103.5,15.01932367,477.0096618,79.10550022038959
71,101.5,15.57142857,498.3793103,80.8607385139999
72,98.5,15.82233503,504.8883249,82.23121393019424
73,98.0,15.92857143,503.5714286,85.81985856370407
74,95.5,16.14659686,505.2460733,81.82963148404143
