parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.5668,0.21665386161075478
fragment_rate,INV,PRO,0.6568,0.1335162580949573
merge_prob,INV,PRO,0.5395999999999995,0.2411244227486345
prolif_rate,INV,PRO,0.006000000000000037,0.9878031938652765
speed_meanlog,INV,PRO,0.202,0.698826950920147
speed_sdlog,INV,PRO,0.5083999999999999,0.3131003208750914
