model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_cst_shed,7,-486.91717922677617,987.8343584535523,0.0,1.0
no_prolif_no_shed,5,-695.6192168715584,1401.2384337431167,413.4040752895644,1.6999872052017185e-90
Cell_num_prolif_no_shed,6,-848.7710775685854,1709.5421551371708,721.7077966836184,1.9193013857855087e-157
