parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.6144000000000003,0.19801050798592307
fragment_rate,INV,PRO,0.5669999999999998,0.2298116112546023
merge_prob,INV,PRO,0.6048000000000001,0.18708254979699454
prolif_rate,INV,PRO,0.0,0.9999999999848517
