timestep,median,q05,q95,observed
22,41.63940978160622,39.38377601462071,44.04451148653254,41.61939886
23,42.23786015059561,39.9490665951104,44.62851950714897,43.53471772
24,42.810054830247324,40.493850461412364,45.17034432623384,45.04091849
25,43.29375220095235,40.65142823660382,45.90725049747783,44.261462
26,43.75805186838544,41.312211276426446,46.564235154739144,44.84138745
27,44.35603103052778,41.75866274832989,47.21939223487844,46.21655588
28,44.93796985305316,42.25810100602298,47.95746804146537,46.77060707
29,45.50431925045318,42.687299180932136,48.28809124688752,47.40615535
30,45.988099540831044,43.19515879096773,48.77756894271722,47.60766792
31,46.43812613313539,43.69061794769171,49.4871595884185,47.63517557
32,46.87741244369878,44.100689347210775,50.032522887827994,48.91038103
33,47.51015535127689,44.46910829759261,50.69874425975881,48.96931528
34,47.97133846191453,45.0191813534645,51.06355347330282,50.23189525
35,48.418715052746094,45.47350640765931,51.61292785061201,51.03120224
36,48.925977056171135,45.985725437196834,52.3366741354826,51.31221116
37,49.45484025929153,46.38295801361852,52.95734266113196,52.01644204
38,49.994446670205264,46.75703456045609,53.62989717250981,53.08896033
39,50.54101447999426,47.25971182375884,54.30157655584716,53.1567268
40,50.957680248056796,47.77080092165301,54.820614126248415,54.14474797
41,51.57412194914375,48.14170688433019,55.37478959043124,55.91942893
42,51.95506982078885,48.584703109087826,55.97750809808669,55.70142736
43,52.40882907367763,49.10592472415008,56.694063965475465,56.83715444
44,53.04267138618313,49.36758526771098,56.91443573428607,59.05174014
45,53.586346948456615,49.780078659512654,57.60044611586063,60.95654225
46,54.052014741123976,50.322071429374525,58.01277919009024,60.6691283
47,54.63953403882981,50.83795570171181,58.62685995352997,62.15309489
48,55.20049346706759,51.037016194591786,59.299423424048705,62.81892342
49,55.50051612499719,51.33579301877403,59.86448064910398,62.76646161
50,56.07990615777621,52.00405637658692,60.592976459879075,63.3405314
51,56.55452821810074,52.264414372683945,61.202265118834255,62.85433342
52,57.107573364705345,52.493438355114606,61.68385466796388,62.48567134
53,57.421953049256786,53.273237770887675,62.072673722201436,63.74004236
54,57.898909910211344,53.599318540324234,62.57346177215648,66.02610923
55,58.385382581353745,53.99709681449775,63.1429066815623,65.56075131
56,58.885187537660954,54.493769833941364,63.752035858911825,66.6384297
57,59.265784174451284,55.09900039526061,64.01557167643003,67.4662143
58,59.955349828198464,55.25290049384085,65.05366936712412,68.20341798
59,60.29765926322648,55.48917375830617,65.64312987350279,70.74248362
60,60.865495605854704,55.99912561513228,66.2132127704398,69.72004751
61,61.36328070544843,56.31789960062301,66.55302806992775,71.99536306
62,61.9409430999129,57.01835179440222,66.86283119320325,72.63601225
63,62.38132640702423,57.06673029954747,67.69000209072654,74.11259249
64,62.997382682065904,57.93002073641226,68.25088196857666,74.78100512
65,63.35565114322503,58.14353544124613,69.34135788287013,72.83210776
66,63.86507577749687,58.806755177575624,69.51923578866923,77.6612296
67,64.2358930490553,59.306003082762736,70.57217142615924,78.77848565
68,64.80196896706033,59.50992117240325,71.0350624658602,76.28240639
69,65.29562524486579,59.877056347859295,71.36605757631963,78.74418292
70,65.90861812574161,60.127928753539905,71.66007340443251,78.74307263
71,66.32420799518303,60.58995463890754,72.43648507686044,80.60156145
72,66.76097326446228,60.989234438750984,72.67511599625254,82.27127081
73,67.17040241215993,61.525707978056865,73.57108549599769,85.62687859
74,67.84623420640638,62.252569651877465,74.00196164465999,81.78605809
