timestep,median,q05,q95,observed
22,20.26516812865497,17.58031836623153,23.751706050047513,59.69306931
23,21.93734681723435,18.933948100692422,25.7794907773386,61.05370102
24,23.686943164362518,20.453319888302822,27.96055534371936,60.78645066
25,25.69872859025033,22.13362442085508,30.025779327890852,51.3452381
26,27.651054793566804,23.694147758716106,32.511500037277266,53.18553459
27,29.69529598308668,25.520147488996418,35.100482926829265,56.65506329
28,32.05659803533956,27.29915770609319,37.768243265494306,47.53311793
29,34.43025320364366,29.361315872924354,40.68004980237154,47.17957166
30,36.84684406919014,31.376833217672914,43.49992623221323,53.68918919
31,39.646694214876035,33.74466971140123,47.334848484848486,46.48526863
32,42.49468085106383,36.06250753465943,50.84199134199134,58.31438721
33,45.37750506862133,38.44640709085154,53.87292350820985,56.35208711
34,48.52211069177419,40.73830826800979,57.35492929292929,57.11645102
35,51.6821715583508,43.58271867612293,61.899984347048296,62.4743833
36,55.29485125603543,46.477198352308484,66.35339624761262,59.27852998
37,59.06460630359729,49.24740158595299,70.60071659731852,60.19123506
38,62.94973326922637,52.846412411118294,75.68823979591836,65.29435484
39,67.2049043062201,56.07822319927583,80.70206730769229,64.74369748
40,71.63212001218398,59.6775462962963,86.16675760582011,61.23454158
41,76.0516818542473,63.40705182072829,92.63,59.4173913
42,80.94387609006898,67.17430687203792,98.10885444824893,61.70179372
43,85.74571396024378,71.46888124815143,105.01094431141401,67.70616114
44,91.19573342533494,75.3836684178622,110.51746869983945,69.5430622
45,96.62466222302288,80.48030674677544,118.03190476190476,70.36919315
46,102.2923322198603,85.57543674537878,124.45192823723683,72.75186104
47,108.3857977847386,90.44501753780692,134.1489609749225,74.99736842
48,115.38440930051308,95.87604039523394,142.4571296296296,81.94148936
49,121.71792207792208,101.58137644793739,149.4868445421924,87.01385042
50,129.00991289198606,107.19093406593407,159.8935761509312,88.71745152
51,136.97824003067484,112.79154338525848,169.1430322966507,95.54571429
52,145.28830892432003,119.28530361757106,178.51136114401018,108.5028736
53,153.99702958763686,126.44967223173056,188.2216540084388,115.2447761
54,163.1313441160067,133.23311359724613,199.760703196347,130.28125
55,172.61671157929118,139.95443381180223,210.60662499999998,132.9551282
56,181.53552769070012,147.67542841977556,222.55343309859154,148.9738562
57,191.00012733446522,154.28813969439472,235.95222972307084,169.3809524
58,201.59144920782853,161.76057817438186,250.0803530976066,188.4113475
59,212.41120689655173,170.61991552956468,263.7000291375291,189.9496403
60,224.2602519881192,180.25962299879495,276.0527973395931,195.2197802
61,237.44294754031435,190.1373974358974,293.66158220482436,190.3085502
62,249.12482798772098,200.34778890959925,308.67739546542094,198.0268199
63,263.24828973843057,210.8117053718039,323.4540988240615,208.540856
64,276.8652401608125,223.19155422042746,343.1108065706903,234.1019608
65,291.3929146537842,234.2766399768474,362.77712248062016,284.1864407
66,306.5645796064401,246.14533451623006,379.49149958228907,317.5021645
67,322.53786125452496,261.2510038957147,405.1069136244332,309.3160173
68,341.54630581249285,272.8958226119834,428.09657430383237,350.6199095
69,358.02941176470586,287.6227825382121,448.99589382940104,399.92891
70,376.88210227272725,300.9963503649635,472.0379152763673,477.0096618
71,395.27225654069764,314.53662029979677,498.75680417259355,498.3793103
72,414.4043921620901,331.64116471851145,524.8914463032919,504.8883249
73,435.58626490163095,348.33089499308767,545.7135474006114,503.5714286
74,456.46809571286144,365.29307692307697,576.0177272727273,505.2460733
