scenario,p,a,y0,y_win
scenario_19__mode_singletons_phase2_fit_all__p_merge_0p2__a_2p1,0.2,2.1,9.484072494571036e-05,9.898186395836155e-05
scenario_20__mode_singletons_phase2_fit_all__p_merge_0p2__a_2p3,0.2,2.3,0.0001024991642688,0.00010826745790628801
scenario_21__mode_singletons_phase2_fit_all__p_merge_0p2__a_2p5,0.2,2.5,0.0001077079012618,0.00011645571418696401
scenario_22__mode_singletons_phase2_fit_all__p_merge_0p3__a_0p5,0.3,0.5,5.242043259030207e-05,4.2093457819924764e-05
scenario_23__mode_singletons_phase2_fit_all__p_merge_0p3__a_0p7,0.3,0.7,6.113431855939554e-05,5.2521593022664145e-05
scenario_24__mode_singletons_phase2_fit_all__p_merge_0p3__a_0p9,0.3,0.9,7.15258793387275e-05,6.392585427242329e-05
scenario_25__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p1,0.3,1.1,8.194407508206363e-05,7.420102570619462e-05
scenario_26__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p3,0.3,1.3,9.0319698365058e-05,8.558100594701405e-05
scenario_27__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p5,0.3,1.5,9.967230493712044e-05,9.609190003534707e-05
scenario_28__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p7,0.3,1.7,0.0001112585197858,0.000109500182909036
scenario_29__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p9,0.3,1.9,0.0001197183215246,0.00011970384153932
scenario_30__mode_singletons_phase2_fit_all__p_merge_0p3__a_2p1,0.3,2.1,0.0001296541231975,0.000134426601507
scenario_31__mode_singletons_phase2_fit_all__p_merge_0p3__a_2p3,0.3,2.3,0.0001425307955934,0.00014815165572752402
scenario_32__mode_singletons_phase2_fit_all__p_merge_0p3__a_2p5,0.3,2.5,0.0001499031525874,0.00015822627960092003
scenario_33__mode_singletons_phase2_fit_all__p_merge_0p4__a_0p5,0.4,0.5,5.8353044935242e-05,4.591067992661623e-05
scenario_34__mode_singletons_phase2_fit_all__p_merge_0p4__a_0p7,0.4,0.7,6.978066903557385e-05,5.839957954228234e-05
scenario_35__mode_singletons_phase2_fit_all__p_merge_0p4__a_0p9,0.4,0.9,8.19975374751646e-05,7.148945962372418e-05
scenario_36__mode_singletons_phase2_fit_all__p_merge_0p4__a_1p1,0.4,1.1,9.326175462001224e-05,8.454038653276584e-05
scenario_37__mode_singletons_phase2_fit_all__p_merge_0p4__a_1p3,0.4,1.3,0.0001068291833913,9.929534591504746e-05
scenario_38__mode_singletons_phase2_fit_all__p_merge_0p4__a_1p5,0.4,1.5,0.0001196622947831,0.00011325726677219199
scenario_39__mode_singletons_phase2_fit_all__p_merge_0p4__a_1p7,0.4,1.7,0.0001289173013944,0.000126810501610288
scenario_40__mode_singletons_phase2_fit_all__p_merge_0p4__a_1p9,0.4,1.9,0.0001442814744049,0.000142794428959428
scenario_41__mode_singletons_phase2_fit_all__p_merge_0p4__a_2p1,0.4,2.1,0.0001579372642023,0.000158186521869088
scenario_42__mode_singletons_phase2_fit_all__p_merge_0p4__a_2p3,0.4,2.3,0.0001721625611138,0.00017505561546541997
scenario_43__mode_singletons_phase2_fit_all__p_merge_0p4__a_2p5,0.4,2.5,0.0001849761680867,0.00018963362318877603
scenario_44__mode_singletons_phase2_fit_all__p_merge_0p5__a_0p5,0.5,0.5,6.0129287212263405e-05,4.833230726754925e-05
scenario_45__mode_singletons_phase2_fit_all__p_merge_0p5__a_0p7,0.5,0.7,7.306542099708997e-05,6.1687657061471e-05
scenario_46__mode_singletons_phase2_fit_all__p_merge_0p5__a_0p9,0.5,0.9,8.760995853051423e-05,7.664638525921014e-05
scenario_47__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p1,0.5,1.1,0.0001013142244387,9.08243511056709e-05
scenario_48__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p3,0.5,1.3,0.0001190021696076,0.00010780003976620607
scenario_49__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p5,0.5,1.5,0.0001317601351292,0.00012371862417844
scenario_50__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p7,0.5,1.7,0.0001469994078301,0.00014161247900813199
scenario_51__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p9,0.5,1.9,0.0001649633700773,0.000159550531454716
scenario_52__mode_singletons_phase2_fit_all__p_merge_0p5__a_2p1,0.5,2.1,0.0001782306236888,0.00017628083729020802
scenario_53__mode_singletons_phase2_fit_all__p_merge_0p5__a_2p3,0.5,2.3,0.0001964629471417,0.00019525314660866802
scenario_54__mode_singletons_phase2_fit_all__p_merge_0p5__a_2p5,0.5,2.5,0.000212182878392,0.000216102223467044
scenario_55__mode_singletons_phase2_fit_all__p_merge_0p6__a_0p5,0.6,0.5,6.032585780204102e-05,4.879760102743265e-05
scenario_56__mode_singletons_phase2_fit_all__p_merge_0p6__a_0p7,0.6,0.7,7.702203986630227e-05,6.443378957540591e-05
scenario_57__mode_singletons_phase2_fit_all__p_merge_0p6__a_0p9,0.6,0.9,9.196396933469434e-05,8.020117321650188e-05
scenario_58__mode_singletons_phase2_fit_all__p_merge_0p6__a_1p1,0.6,1.1,0.0001085656213911,9.74067881129772e-05
scenario_59__mode_singletons_phase2_fit_all__p_merge_0p6__a_1p3,0.6,1.3,0.0001239421080994,0.000113542223172924
scenario_60__mode_singletons_phase2_fit_all__p_merge_0p6__a_1p5,0.6,1.5,0.0001421368072901,0.000132320272575964
scenario_61__mode_singletons_phase2_fit_all__p_merge_0p6__a_1p7,0.6,1.7,0.0001588110242776,0.000151823153098484
scenario_62__mode_singletons_phase2_fit_all__p_merge_0p6__a_1p9,0.6,1.9,0.0001789804428703,0.00017254022247395202
scenario_63__mode_singletons_phase2_fit_all__p_merge_0p6__a_2p1,0.6,2.1,0.0002001938770418,0.00019392669340445598
scenario_64__mode_singletons_phase2_fit_all__p_merge_0p6__a_2p3,0.6,2.3,0.0002144088780981,0.00021446666061284003
scenario_65__mode_singletons_phase2_fit_all__p_merge_0p6__a_2p5,0.6,2.5,0.0002365034022413,0.00024034933222869998
scenario_66__mode_singletons_phase2_fit_all__p_merge_0p7__a_0p5,0.7,0.5,6.120268458022047e-05,5.061622445841346e-05
scenario_67__mode_singletons_phase2_fit_all__p_merge_0p7__a_0p7,0.7,0.7,7.811580647972537e-05,6.654350306785097e-05
scenario_68__mode_singletons_phase2_fit_all__p_merge_0p7__a_0p9,0.7,0.9,9.532362650506344e-05,8.254476917216529e-05
scenario_69__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p1,0.7,1.1,0.0001138114328318,0.00010087734581184742
scenario_70__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p3,0.7,1.3,0.0001313991969088,0.000119676427302616
scenario_71__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p5,0.7,1.5,0.0001517447659174,0.000137633217149696
scenario_72__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p7,0.7,1.7,0.0001679382466558,0.00015689502058516
