a,n_points,S,b,R2,S_CI_lo,S_CI_hi,b_CI_lo,b_CI_hi,x_min,x_max
0.5,10,5.937224114809765e-05,7.451560097693865,0.977751067210061,5.677427118355771e-05,6.197021111263759e-05,6.0264940481055405,8.87662614728219,0.7451560097693866,7.451560097693865
0.7,10,8.148843770571304e-05,5.811662838650798,0.9881138228620593,7.82689924146732e-05,8.470788299675288e-05,4.936811664081266,6.68651401322033,0.5811662838650798,5.811662838650798
0.9,10,0.00010707207787062772,4.699714994127323,0.9928946348123265,0.00010314480706973574,0.0001109993486715197,4.11359766617675,5.285832322077896,0.4699714994127323,4.699714994127323
1.1,10,0.00013439466819321,4.063959109207364,0.9950265897905511,0.00012969777844929254,0.00013909155793712745,3.616447584174122,4.511470634240605,0.4063959109207364,4.063959109207364
1.3,10,0.00016705826304422866,3.4626866205128866,0.9956623698268144,0.0001607937969793288,0.00017332272910912852,3.0858120309587984,3.8395612100669747,0.3462686620512887,3.4626866205128866
1.5,10,0.0002010880457111819,3.085786737348051,0.996533145576322,0.00019362900241839145,0.00020854708900397233,2.7722343672874716,3.3993391074086308,0.30857867373480513,3.085786737348051
1.7,10,0.0002396075048586382,2.765243618940155,0.9966408241711038,0.00022994714863982163,0.0002492678610774548,2.475890961819581,3.054596276060729,0.2765243618940155,2.765243618940155
1.9,10,0.0002909332427659555,2.3448551501063704,0.998246492410444,0.00028113099989970247,0.00030073548563220855,2.1553897171987018,2.534320583014039,0.23448551501063705,2.3448551501063704
2.1,10,0.00033600085533202914,2.1820157360055847,0.9963908981662672,0.0003185879463404155,0.0003534137643236428,1.9197915299632446,2.4442399420479246,0.21820157360055847,2.1820157360055847
2.3,10,0.0003812585471955229,2.1355449838841665,0.9967427530888305,0.000361941273381694,0.0004005758210093518,1.8871170076866297,2.383972960081703,0.21355449838841667,2.1355449838841665
2.5,10,0.0004494555511468992,1.8721701046529033,0.9955093084194441,0.0004196376120222109,0.0004792734902715875,1.6035121332627742,2.1408280760430327,0.18721701046529035,1.8721701046529033
