p,n_points,S,b,R2,S_CI_lo,S_CI_hi,b_CI_lo,b_CI_hi,x_min,x_max
0.1,11,0.00012002122471186601,0.45537765279159137,0.928181569979734,8.419715045761084e-05,0.00015584529896612117,0.21514958294258626,0.6956057226405965,0.22768882639579568,1.1384441319789784
0.2,11,0.000373234323949978,0.1752166314428573,0.9918130630526183,0.0002752549969188655,0.00047121365098109054,0.11450023516098268,0.2359330277247319,0.08760831572142865,0.4380415786071432
0.3,11,0.0010379182883085807,0.07083434466484848,0.9931568221702104,0.0004257038774167828,0.0016501326992003785,0.02343908231343495,0.118229607016262,0.03541717233242424,0.1770858616621212
0.4,11,0.0028450851593937723,0.028181810377449906,0.9963480018293435,-0.00024378832469218546,0.00593395864347973,-0.004078679631146456,0.06044230038604627,0.014090905188724953,0.07045452594362477
0.5,11,0.026849687498544394,0.0031691013449800806,0.9968882308311791,-0.21595445347283246,0.26965382846992125,-0.02566648432603406,0.032004687015994224,0.0015845506724900403,0.007922753362450201
0.6,11,0.0661567447148044,0.0013945231938117311,0.9937691503581282,-1.9345670538709174,2.066880543300526,-0.04089367147397169,0.04368271786159515,0.0006972615969058656,0.003486307984529328
0.7,11,181.88828885673843,5.336959993061288e-07,0.98989968193961,181.88828885673843,181.88828885673843,5.193273224116867e-07,5.480646762005709e-07,2.668479996530644e-07,1.334239998265322e-06
0.8,11,211.2868462259543,4.786597180745619e-07,0.9892769087707262,211.2868462259543,211.2868462259543,4.651626486401071e-07,4.921567875090168e-07,2.3932985903728097e-07,1.1966492951864047e-06
0.9,11,188.11781398364357,5.518222143275326e-07,0.9873736151626074,188.11781398364357,188.11781398364357,5.347379395072374e-07,5.689064891478277e-07,2.759111071637663e-07,1.3795555358188315e-06
1.0,11,158.21716246158482,6.758498714144266e-07,0.979952425653851,158.21716246158482,158.21716246158482,6.488334948185151e-07,7.02866248010338e-07,3.379249357072133e-07,1.6896246785360664e-06
