merge_prob,invasive_speed,proliferative_speed,dt,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.5,2.0,0.8,0.5,0,63,18.73015873015873,1.257142857142857,1180.0,150.5548172757475,8.531149848751642,1.268149662843614
0.5,2.0,0.8,0.5,1,66,17.78787878787879,1.1636363636363636,1174.0,143.93687707641195,8.57835122299105,1.2125602666843645
0.5,2.0,0.8,0.5,2,59,19.677966101694917,1.247457627118644,1161.0,143.64119601328903,8.833537723297523,1.2305895118315022
0.5,2.0,0.8,0.5,3,58,21.0,1.213793103448276,1218.0,129.17940199335547,10.46726121564948,1.2438902775857983
0.5,2.0,0.8,0.5,4,76,16.763157894736842,1.0368421052631576,1274.0,152.50830564784053,8.284639769216463,1.1338802809316466
0.5,2.0,1.0,0.5,0,62,18.903225806451612,1.2741935483870968,1172.0,140.6611295681063,9.164198351968071,1.3361196341002248
0.5,2.0,1.0,0.5,1,61,19.983606557377048,1.2459016393442623,1219.0,140.62458471760797,8.973091523970789,1.3303264976478961
0.5,2.0,1.0,0.5,2,59,19.06779661016949,1.3932219701317459,1125.0,134.2059800664452,9.407112324919074,1.373251467827104
0.5,2.0,1.0,0.5,3,60,19.333333333333332,1.3166666666666667,1160.0,139.7375415282392,9.056095270761634,1.3472449976238163
0.5,2.0,1.0,0.5,4,62,19.56451612903226,1.3387096774193548,1213.0,140.40863787375415,9.103365137656219,1.34741457736241
0.5,3.0,0.8,0.5,0,41,29.073170731707318,1.280648727792835,1192.0,121.46511627906976,12.177693755002176,1.462989684120989
0.5,3.0,0.8,0.5,1,48,23.729166666666668,1.4416666666666664,1139.0,124.12624584717608,10.71156660673499,1.5416286002891066
0.5,3.0,0.8,0.5,2,49,24.79591836734694,1.2938775510204081,1215.0,124.99667774086379,10.981439358028458,1.4103956422294168
0.5,3.0,0.8,0.5,3,48,25.458333333333332,1.4241357965274652,1222.0,117.95348837209302,11.783462440498862,1.4368730937670233
0.5,3.0,0.8,0.5,4,53,22.962264150943398,1.090566037735849,1217.0,121.09966777408638,11.319161060936688,1.3357278324669726
0.5,3.0,1.0,0.5,0,50,24.08,1.4627464197416873,1204.0,123.56146179401993,11.218512725115513,1.5792928383408764
0.5,3.0,1.0,0.5,1,53,22.90566037735849,1.329305639768431,1214.0,119.61794019933555,11.217764197626154,1.5041888102257877
0.5,3.0,1.0,0.5,2,45,25.977777777777778,1.5777777777777777,1169.0,117.84385382059801,12.064466474652171,1.677266431073897
0.5,3.0,1.0,0.5,3,44,26.75,1.5454545454545454,1177.0,118.22591362126246,12.192091768561705,1.6618235517468511
0.5,3.0,1.0,0.5,4,52,23.346153846153847,1.2307692307692308,1214.0,123.0265780730897,11.089984428996294,1.452691605518231
0.5,4.0,0.8,0.5,0,38,32.68421052631579,1.4736842105263157,1242.0,108.89368770764119,14.324244902096908,1.6905986157363286
0.5,4.0,0.8,0.5,1,45,28.022222222222222,1.0844444444444443,1261.0,115.52159468438538,12.149398850629252,1.477385468293497
0.5,4.0,0.8,0.5,2,37,31.864864864864863,2.1837837837837837,1179.0,102.01661129568106,15.050985607130723,2.162875616593823
0.5,4.0,0.8,0.5,3,42,30.595238095238095,1.2571428571428571,1285.0,112.79401993355482,13.835788345342786,1.5889253763610527
0.5,4.0,0.8,0.5,4,45,27.044444444444444,1.44,1217.0,118.00996677740864,11.481402681578807,1.5717041196481838
0.5,4.0,1.0,0.5,0,42,27.976190476190474,1.7112852971500954,1175.0,110.45182724252491,12.93867190699822,2.005075574399349
0.5,4.0,1.0,0.5,1,29,40.172413793103445,1.5172413793103448,1165.0,104.3953488372093,14.855239076136584,2.0500677001253
0.5,4.0,1.0,0.5,2,42,27.142857142857142,1.5714285714285714,1140.0,104.30564784053156,13.86102765043063,1.775725481082035
0.5,4.0,1.0,0.5,3,43,27.58139534883721,1.7666338108458632,1186.0,112.22591362126246,12.87487191663309,1.9513731305535675
0.5,4.0,1.0,0.5,4,32,34.84375,2.03125,1115.0,100.7375415282392,14.805944349405607,2.032785786646371
0.7,2.0,0.8,0.5,0,57,21.87719298245614,1.0526315789473684,1247.0,140.1627906976744,9.697087937085492,1.1418785094361323
0.7,2.0,0.8,0.5,1,72,16.34722222222222,1.1304256962420542,1177.0,141.0797342192691,8.661509652675214,1.177810666436535
0.7,2.0,0.8,0.5,2,57,19.42105263157895,1.3052631578947367,1107.0,134.34883720930233,9.144004561142424,1.2997563747497791
0.7,2.0,0.8,0.5,3,67,18.29850746268657,1.1044776119402986,1226.0,139.8139534883721,9.098493180746079,1.1696371194585429
0.7,2.0,0.8,0.5,4,80,15.8,1.025,1264.0,151.50830564784053,8.004841556582026,1.1064705382775328
0.7,2.0,1.0,0.5,0,53,21.28301886792453,1.3773584905660377,1128.0,134.37209302325581,9.513226306442743,1.3934178038549794
0.7,2.0,1.0,0.5,1,52,22.692307692307693,1.3653846153846154,1180.0,128.57142857142858,10.430214688036267,1.402204828610127
0.7,2.0,1.0,0.5,2,53,23.433962264150942,1.2641509433962264,1242.0,124.27906976744185,10.727576066849952,1.3110131562509684
0.7,2.0,1.0,0.5,3,51,23.137254901960784,1.4313725490196079,1180.0,123.0299003322259,10.831929031280863,1.428948683784614
0.7,2.0,1.0,0.5,4,50,23.32,1.34,1166.0,122.76079734219269,10.814397510368979,1.3414904543497694
0.7,3.0,0.8,0.5,0,47,25.127659574468087,1.231061400757596,1181.0,113.42857142857143,11.609249112965655,1.4649220850112215
0.7,3.0,0.8,0.5,1,48,26.541666666666668,1.2125000000000001,1274.0,120.81063122923588,11.545719602347935,1.3684102152527267
0.7,3.0,0.8,0.5,2,46,24.717391304347824,1.4695652173913045,1137.0,111.9734219269103,11.884254960508335,1.4768206806798208
