p,a,y_emp,y_pred,type
0.1,0.5,2.3336281860922905e-05,2.2259298292583527e-05,observed
0.1,0.7,2.77373599354139e-05,2.901086029081489e-05,observed
0.1,0.9,3.199232451025359e-05,3.4890121687349894e-05,observed
0.1,1.1,3.615470379985245e-05,4.0055876054063435e-05,observed
0.1,1.3,4.0062885332514e-05,4.463057954817304e-05,observed
0.1,1.5,4.421817162394395e-05,4.871018251829836e-05,observed
0.1,1.7,4.8024236570906995e-05,5.237093287918446e-05,observed
0.1,1.9,5.147992932734884e-05,5.567418630027134e-05,observed
0.1,2.1,5.524932623355839e-05,5.866987275976647e-05,observed
0.1,2.3,5.921437409160471e-05,6.139903785765082e-05,observed
0.1,2.5,6.277194105091615e-05,6.38957347272995e-05,observed
0.1,0.5,,2.2259298292583527e-05,pred_curve
0.1,0.5202020202020202,,2.2986417736668295e-05,pred_curve
0.1,0.5404040404040404,,2.3702800906859216e-05,pred_curve
0.1,0.5606060606060606,,2.4408683849978324e-05,pred_curve
0.1,0.5808080808080808,,2.5104295743582376e-05,pred_curve
0.1,0.601010101010101,,2.5789859144038566e-05,pred_curve
0.1,0.6212121212121212,,2.6465590223926525e-05,pred_curve
0.1,0.6414141414141414,,2.71316989992987e-05,pred_curve
0.1,0.6616161616161617,,2.778838954730082e-05,pred_curve
0.1,0.6818181818181819,,2.843586021462633e-05,pred_curve
0.1,0.702020202020202,,2.9074303817251898e-05,pred_curve
0.1,0.7222222222222222,,2.9703907831876673e-05,pred_curve
0.1,0.7424242424242424,,3.03248545794644e-05,pred_curve
0.1,0.7626262626262627,,3.093732140126601e-05,pred_curve
0.1,0.7828282828282829,,3.154148082767954e-05,pred_curve
0.1,0.803030303030303,,3.2137500740285195e-05,pred_curve
0.1,0.8232323232323233,,3.272554452737522e-05,pred_curve
0.1,0.8434343434343434,,3.3305771233281117e-05,pred_curve
0.1,0.8636363636363636,,3.3878335701785214e-05,pred_curve
0.1,0.8838383838383839,,3.4443388713887774e-05,pred_curve
0.1,0.9040404040404041,,3.500107712018743e-05,pred_curve
0.1,0.9242424242424243,,3.555154396811911e-05,pred_curve
0.1,0.9444444444444444,,3.609492862428072e-05,pred_curve
0.1,0.9646464646464648,,3.663136689206866e-05,pred_curve
0.1,0.9848484848484849,,3.716099112483052e-05,pred_curve
0.1,1.0050505050505052,,3.768393033473314e-05,pred_curve
0.1,1.0252525252525253,,3.820031029753395e-05,pred_curve
0.1,1.0454545454545454,,3.871025365343454e-05,pred_curve
0.1,1.0656565656565657,,3.921388000418616e-05,pred_curve
0.1,1.0858585858585859,,3.971130600660865e-05,pred_curve
0.1,1.106060606060606,,4.0202645462676606e-05,pred_curve
0.1,1.1262626262626263,,4.068800940631858e-05,pred_curve
0.1,1.1464646464646466,,4.116750618706863e-05,pred_curve
0.1,1.1666666666666667,,4.1641241550702525e-05,pred_curve
0.1,1.1868686868686869,,4.210931871698464e-05,pred_curve
0.1,1.2070707070707072,,4.257183845464557e-05,pred_curve
0.1,1.2272727272727273,,4.302889915370489e-05,pred_curve
0.1,1.2474747474747474,,4.348059689524821e-05,pred_curve
0.1,1.2676767676767677,,4.3927025518762215e-05,pred_curve
0.1,1.287878787878788,,4.436827668712705e-05,pred_curve
0.1,1.3080808080808082,,4.480443994936044e-05,pred_curve
0.1,1.3282828282828283,,4.523560280120383e-05,pred_curve
0.1,1.3484848484848486,,4.566185074363666e-05,pred_curve
0.1,1.3686868686868687,,4.608326733940085e-05,pred_curve
0.1,1.3888888888888888,,4.649993426761416e-05,pred_curve
0.1,1.4090909090909092,,4.691193137654725e-05,pred_curve
0.1,1.4292929292929295,,4.731933673463609e-05,pred_curve
0.1,1.4494949494949496,,4.772222667979837e-05,pred_curve
0.1,1.4696969696969697,,4.8120675867118924e-05,pred_curve
0.1,1.48989898989899,,4.851475731496722e-05,pred_curve
0.1,1.5101010101010102,,4.8904542449606356e-05,pred_curve
0.1,1.5303030303030305,,4.9290101148351106e-05,pred_curve
0.1,1.5505050505050506,,4.967150178132952e-05,pred_curve
0.1,1.5707070707070707,,5.004881125190076e-05,pred_curve
0.1,1.590909090909091,,5.0422095035779084e-05,pred_curve
0.1,1.6111111111111112,,5.079141721891234e-05,pred_curve
0.1,1.6313131313131315,,5.115684053416072e-05,pred_curve
0.1,1.6515151515151516,,5.1518426396819997e-05,pred_curve
0.1,1.6717171717171717,,5.1876234939031496e-05,pred_curve
0.1,1.691919191919192,,5.2230325043119285e-05,pred_curve
0.1,1.7121212121212122,,5.2580754373893384e-05,pred_curve
0.1,1.7323232323232325,,5.29275794099562e-05,pred_curve
0.1,1.7525252525252526,,5.3270855474047886e-05,pred_curve
0.1,1.772727272727273,,5.361063676246502e-05,pred_curve
0.1,1.792929292929293,,5.3946976373585174e-05,pred_curve
0.1,1.8131313131313131,,5.4279926335529164e-05,pred_curve
0.1,1.8333333333333335,,5.4609537632991104e-05,pred_curve
0.1,1.8535353535353536,,5.49358602332654e-05,pred_curve
0.1,1.873737373737374,,5.525894311149854e-05,pred_curve
0.1,1.893939393939394,,5.557883427519248e-05,pred_curve
0.1,1.9141414141414144,,5.589558078798545e-05,pred_curve
0.1,1.9343434343434345,,5.620922879273485e-05,pred_curve
0.1,1.9545454545454546,,5.651982353392596e-05,pred_curve
0.1,1.974747474747475,,5.6827409379429556e-05,pred_curve
0.1,1.994949494949495,,5.7132029841630016e-05,pred_curve
0.1,2.0151515151515156,,5.7433727597945514e-05,pred_curve
0.1,2.0353535353535355,,5.7732544510760234e-05,pred_curve
0.1,2.0555555555555554,,5.8028521646788354e-05,pred_curve
0.1,2.075757575757576,,5.832169929588857e-05,pred_curve
0.1,2.095959595959596,,5.8612116989347254e-05,pred_curve
0.1,2.1161616161616164,,5.889981351764774e-05,pred_curve
0.1,2.1363636363636367,,5.918482694774238e-05,pred_curve
0.1,2.1565656565656566,,5.946719463984358e-05,pred_curve
0.1,2.176767676767677,,5.974695326374954e-05,pred_curve
0.1,2.1969696969696972,,6.00241388147193e-05,pred_curve
0.1,2.217171717171717,,6.029878662891197e-05,pred_curve
0.1,2.2373737373737375,,6.0570931398403706e-05,pred_curve
0.1,2.257575757575758,,6.084060718579606e-05,pred_curve
0.1,2.2777777777777777,,6.11078474384284e-05,pred_curve
0.1,2.2979797979797985,,6.137268500220716e-05,pred_curve
0.1,2.3181818181818183,,6.163515213506361e-05,pred_curve
0.1,2.3383838383838382,,6.189528052005197e-05,pred_curve
