p,a,y_emp,y_pred
0.1,0.5,2.3336281860922905e-05,2.2259298292583527e-05
0.1,0.7,2.77373599354139e-05,2.901086029081489e-05
0.1,0.9,3.199232451025359e-05,3.4890121687349894e-05
0.1,1.1,3.615470379985245e-05,4.0055876054063435e-05
0.1,1.3,4.0062885332514e-05,4.463057954817304e-05
0.1,1.5,4.421817162394395e-05,4.871018251829836e-05
0.1,1.7,4.8024236570906995e-05,5.237093287918446e-05
0.1,1.9,5.147992932734884e-05,5.567418630027134e-05
0.1,2.1,5.524932623355839e-05,5.866987275976647e-05
0.1,2.3,5.921437409160471e-05,6.139903785765082e-05
0.1,2.5,6.277194105091615e-05,6.38957347272995e-05
0.2,0.5,3.534088428059787e-05,3.0064527843360047e-05
0.2,0.7,4.3504924278371466e-05,4.077649822431718e-05
0.2,0.9,5.06635174719451e-05,5.0839967776415964e-05
0.2,1.1,5.927896061220765e-05,6.031209646403554e-05
0.2,1.3,6.707344837488122e-05,6.924351841585818e-05
0.2,1.5,7.609458477019672e-05,7.767924738286696e-05
0.2,1.7,8.406109833530509e-05,8.565943550845214e-05
0.2,1.9,9.172099777329454e-05,9.322001240643109e-05
0.2,2.1,9.898186395836156e-05,0.00010039322601030703
0.2,2.3,0.0001082674579062,0.0001072081023682985
0.2,2.5,0.0001164557141869,0.00011369083821049119
0.3,0.5,4.209345781992477e-05,3.5502724762802114e-05
0.3,0.7,5.2521593022664145e-05,4.903293229911316e-05
0.3,0.9,6.392585427242329e-05,6.22027534423972e-05
0.3,1.1,7.420102570619462e-05,7.502639766269197e-05
0.3,1.3,8.558100594701405e-05,8.751733711100049e-05
0.3,1.5,9.609190003534709e-05,9.968835383053541e-05
0.3,1.7,0.000109500182909,0.0001115515833862539
0.3,1.9,0.0001197038415393,0.00012311855522574133
0.3,2.1,0.000134426601507,0.00013440023005361615
0.3,2.3,0.0001481516557275,0.0001454070344741278
0.3,2.5,0.0001582262796009,0.0001561488931321001
0.4,0.5,4.591067992661623e-05,3.9532772683139504e-05
0.4,0.7,5.839957954228234e-05,5.5039967185920755e-05
0.4,0.9,7.148945962372418e-05,7.037667746146452e-05
0.4,1.1,8.454038653276584e-05,8.554569956459384e-05
0.4,1.3,9.929534591504746e-05,0.00010054976873969503
0.4,1.5,0.0001132572667721,0.00011539156106495919
0.4,1.7,0.0001268105016102,0.00013007369504356093
0.4,1.9,0.0001427944289594,0.0001445987331437609
0.4,2.1,0.000158186521869,0.00015896918328983547
0.4,2.3,0.0001750556154654,0.0001731875003056546
0.4,2.5,0.0001896336231887,0.00018725608731265416
0.5,0.5,4.833230726754925e-05,4.247738281645728e-05
0.5,0.7,6.1687657061471e-05,5.943072713663929e-05
0.5,0.9,7.664638525921014e-05,7.636264183169494e-05
0.5,1.1,9.08243511056709e-05,9.327316750766339e-05
0.5,1.3,0.0001078000397662,0.00011016234466805845
0.5,1.5,0.0001237186241784,0.00012703021371419202
0.5,1.7,0.0001416124790081,0.0001438768149454962
0.5,1.9,0.0001595505314547,0.00016070218855984407
0.5,2.1,0.0001762808372902,0.0001775063746538698
0.5,2.3,0.0001952531466086,0.00019428941322328672
0.5,2.5,0.000216102223467,0.00021105134416320496
0.6,0.5,4.879760102743265e-05,4.6096416205162315e-05
0.6,0.7,6.443378957540591e-05,6.451700113417827e-05
0.6,0.9,8.020117321650188e-05,8.29273237699288e-05
0.6,1.1,9.74067881129772e-05,0.00010132739268586598
0.6,1.3,0.0001135422231729,0.00011971721644589454
0.6,1.5,0.0001323202725759,0.00013809680360438514
0.6,1.7,0.0001518231530984,0.0001564661627061875
0.6,1.9,0.0001725402224739,0.00017482530228664388
0.6,2.1,0.0001939266934044,0.00019317423087160198
0.6,2.3,0.0002144666606128,0.00021151295697742847
0.6,2.5,0.0002403493322286,0.00022984148911102197
0.7,0.5,5.061622445841346e-05,4.853651308986798e-05
0.7,0.7,6.654350306785097e-05,6.795111107276988e-05
0.7,0.9,8.254476917216529e-05,8.736570491107648e-05
0.7,1.1,0.0001008773458118,0.00010678029460478907
0.7,1.3,0.0001196764273026,0.000126194880153909
0.7,1.5,0.0001376332171496,0.0001456094615584376
0.7,1.7,0.0001568950205851,0.0001650240388183762
0.7,1.9,0.0001805108272705,0.00018443861193372606
0.7,2.1,0.0002064237974559,0.00020385318090448864
0.7,2.3,0.0002297496884889,0.00022326774573066518
0.7,2.5,0.0002555594112161,0.00024268230641225698
0.8,0.5,5.0663802282179865e-05,5.056723902143912e-05
0.8,0.7,6.709339444868157e-05,7.079412785275692e-05
0.8,0.9,8.457164189641052e-05,9.102101281135766e-05
0.8,1.1,0.0001019575974054,0.00011124789389724239
0.8,1.3,0.0001214906253071,0.00013147477111041225
0.8,1.5,0.0001449218632043,0.00015170164445086837
0.8,1.7,0.0001667097528389,0.0001719285139186118
0.8,1.9,0.0001891849514093,0.00019215537951364374
0.8,2.1,0.0002160018654935,0.00021238224123596526
0.8,2.3,0.0002395620829208,0.0002326090990855775
0.8,2.5,0.000265898083918,0.00025283595306248145
0.9,0.5,5.057976323978158e-05,5.190378001262512e-05
0.9,0.7,6.699736862920131e-05,7.26652839980138e-05
0.9,0.9,8.480249006132127e-05,9.342678340074112e-05
0.9,1.1,0.0001042426082533,0.00011418827822080857
0.9,1.3,0.0001267523212373,0.00013494976845821775
0.9,1.5,0.000146344440956,0.00015571125411297003
0.9,1.7,0.0001709701487878,0.00017647273518506704
0.9,1.9,0.000196967364283,0.0001972342116745103
0.9,2.1,0.0002172593776766,0.00021799568358130128
0.9,2.3,0.0002488178060288,0.00023875715090544152
0.9,2.5,0.0002740498854368,0.00025951861364693256
1.0,0.5,5.025601400779561e-05,5.3465506385280954e-05
1.0,0.7,6.728270541809291e-05,7.485169882169455e-05
1.0,0.9,8.671267622123178e-05,9.623788547656952e-05
1.0,1.1,0.000105881349534,0.00011762406634990816
1.0,1.3,0.0001266686021096,0.00013901024144171285
1.0,1.5,0.0001486979795153,0.0001603964107519859
1.0,1.7,0.0001718511296956,0.00018178257428072978
1.0,1.9,0.0002015885776575,0.00020316873202794663
1.0,2.1,0.0002275701219476,0.00022455488399363894
1.0,2.3,0.0002554318656136,0.000245941030177809
1.0,2.5,0.000288823035981,0.0002673271705804592
