step,hours,S0,S1,S2,Ncells
28,14.0,900.0,2.5844444444444443,10.82,2326.0
56,28.0,774.0,3.445736434108527,20.045219638242894,2667.0
66,33.0,740.0,3.8027027027027027,24.583783783783783,2814.0
75,37.5,713.0,4.137447405329593,29.548387096774192,2950.0
92,46.0,662.0,4.835347432024169,42.240181268882175,3201.0
113,56.5,600.0,5.883333333333334,65.19666666666667,3530.0
140,70.0,548.0,7.390510948905109,102.60218978102189,4050.0
143,71.5,542.0,7.592250922509225,108.29704797047971,4115.0
144,72.0,542.0,7.642066420664206,109.53874538745387,4142.0
