time_min,step,agent_id,x,y,radius,size,speed
54.0,54,2,121.22024815512573,856.1816086318776,7.755538950942392,1.0,3.0
54.0,54,4,1153.6240014015511,133.7313370491115,7.755538950942392,1.0,3.0
54.0,54,9,1049.884046080869,809.4895154974128,9.77136677757192,2.0,3.0
54.0,54,10,1249.3423928315658,871.7328450427093,7.755538950942392,1.0,3.0
54.0,54,11,593.9133715328912,716.9126470606336,7.755538950942392,1.0,3.0
54.0,54,12,772.6766297133057,815.3028819919898,13.26178505962571,5.0,3.0000000000000004
54.0,54,14,989.3300779276364,479.69022254164366,9.77136677757192,2.0,3.0
54.0,54,20,1088.8781278008917,692.6354263142266,14.09274953626919,6.0,2.9999999999999996
54.0,54,22,1102.4957572828328,77.38394594955221,9.77136677757192,2.0,2.9999999999999996
54.0,54,23,199.87502370464887,682.4542786321026,7.755538950942392,1.0,3.0
54.0,54,25,1033.347674143476,486.3189187115256,14.092749536269187,6.0,3.0
54.0,54,27,98.79017122577271,378.2096254183488,11.185422719499032,3.0,3.0
54.0,54,28,263.3586491450827,241.70340001452038,14.09274953626919,6.0,3.0000000000000004
54.0,54,31,1115.6184369023742,1015.0251122278444,11.185422719499032,3.0,3.0000000000000004
54.0,54,36,884.7400940673464,568.7098598752517,9.77136677757192,2.0,3.0
54.0,54,37,585.3771122572957,133.85334646248276,14.83581229846356,7.0,3.0
54.0,54,40,461.74957404141287,175.97121706458304,7.755538950942392,1.0,3.0
54.0,54,42,108.18544172773636,911.5031407963463,11.185422719499032,3.0,3.0
54.0,54,45,673.8796375023915,549.9015353476408,14.092749536269185,6.0,3.0
54.0,54,48,148.342587076514,699.9913825068215,7.755538950942392,1.0,3.0
54.0,54,50,205.7895687338228,406.51777266818186,9.77136677757192,2.0,2.9999999999999996
54.0,54,51,690.3827189495946,109.6301090674519,7.755538950942392,1.0,3.0
54.0,54,53,826.3415609666791,981.9385133721646,12.311150689306297,4.0,2.9999999999999996
54.0,54,54,474.8215574021469,793.8803358671897,7.755538950942392,1.0,2.9999999999999996
54.0,54,56,640.3391837020582,176.9102954681691,7.755538950942392,1.0,2.9999999999999996
54.0,54,57,54.0123625109589,33.22480601848756,16.132171110904203,9.0,3.0000000000000004
54.0,54,60,901.6759077013503,127.70907632286546,9.77136677757192,2.0,3.0000000000000004
54.0,54,61,287.1419341317945,655.9711568283806,11.185422719499032,3.0,2.9999999999999996
54.0,54,67,1020.2097620909055,692.3623996318091,14.835812298463559,7.0,3.0
54.0,54,69,347.0043336367084,380.82353961466595,11.185422719499032,3.0,2.9999999999999996
54.0,54,70,890.2625871727832,793.0866665996643,7.755538950942392,1.0,3.0
54.0,54,72,1158.057186975318,23.60587660714741,14.09274953626919,6.0,2.9999999999999996
54.0,54,74,468.1357906067702,728.1538608833223,11.185422719499032,3.0,3.0
54.0,54,76,194.34704459886595,55.128290611976084,9.77136677757192,2.0,3.0000000000000004
54.0,54,83,696.3195155309108,201.95144505858866,7.755538950942392,1.0,2.9999999999999996
54.0,54,90,1062.4562480931313,845.2304768790251,7.755538950942392,1.0,2.9999999999999996
54.0,54,93,1099.2277159129028,965.4193328249684,7.755538950942392,1.0,3.0
54.0,54,94,851.7139173476929,395.56199564423713,12.311150689306297,4.0,3.0
54.0,54,95,966.9933300173874,426.7050730244145,11.185422719499032,3.0,3.0
54.0,54,96,346.0647913039354,600.4929900331643,9.77136677757192,2.0,2.9999999999999996
54.0,54,103,1156.4018133871334,472.55694986665,14.09274953626919,6.0,3.0
54.0,54,104,18.625564546787338,932.5547293537307,12.311150689306295,4.0,3.0
54.0,54,105,731.1980341963473,727.0621427740562,9.77136677757192,2.0,3.0000000000000004
54.0,54,112,94.64308529557515,139.5367945056936,7.755538950942392,1.0,3.0
54.0,54,115,775.5287881229326,374.0452389831605,11.185422719499032,3.0,2.9999999999999996
54.0,54,116,711.630249855858,1004.8722551858732,7.755538950942392,1.0,3.0
54.0,54,117,384.6456341990037,692.808241818292,7.755538950942392,1.0,3.0
54.0,54,119,1251.5021956019605,795.1710229243309,9.771366777571922,2.0,3.0
54.0,54,121,852.1452737902873,441.5458504435841,7.755538950942392,1.0,3.0
54.0,54,122,1248.8970256742311,491.01379428245053,7.755538950942392,1.0,3.0
54.0,54,123,1190.7132839802957,805.6252527195807,7.755538950942392,1.0,3.0
54.0,54,124,1004.7192206152331,547.3777347708325,9.77136677757192,2.0,3.0
54.0,54,129,11.544834246493034,137.11859515109936,9.77136677757192,2.0,3.0000000000000004
54.0,54,130,1031.6503675713507,629.5148666041543,7.755538950942392,1.0,3.0000000000000004
54.0,54,131,677.9302777154578,216.923484361399,12.311150689306299,4.0,3.0
54.0,54,133,156.04770289763104,67.40074767689697,9.77136677757192,2.0,3.0
54.0,54,134,238.6754386133096,663.3036895373075,7.755538950942392,1.0,2.9999999999999996
54.0,54,135,1071.5301722757945,771.4772113063628,9.77136677757192,2.0,2.9999999999999996
