step,num_clusters,mean_cluster_size,mean_squared_cluster_size
71,95.08,15.585695322752583,487.60297741493537
72,91.61,16.360723506619916,545.1633063277088
73,89.46,16.94528210077175,594.2271892446417
74,87.67,17.48439890377278,637.9629244088454
75,86.13,18.0004244575014,687.3954836043096
76,84.92,18.450020157017846,724.0300400688875
77,83.98,18.860694951700626,759.7220672456667
78,82.74,19.350958416807863,803.3708725441974
79,81.84,19.780966474441165,837.7298502245982
80,80.81,20.250749527940215,879.6502534532583
81,79.9,20.706488871294695,920.6291765285695
82,79.03,21.161115909198458,970.6274466296682
83,78.33,21.5805219851538,1007.3790044996479
84,77.5,22.046066574380983,1050.0283015436303
85,76.59,22.55938119984506,1100.7711884403582
86,75.9,23.01223001286952,1146.103272861778
87,75.2,23.475775650714954,1191.7758902188846
88,74.5,23.94964279296754,1237.8805421068555
89,73.88,24.407752155174258,1293.0211036472608
90,73.31,24.86093196519333,1342.9613736856022
91,72.63,25.36406954760066,1404.5320218115112
92,71.97,25.866607142542204,1460.5644742609861
93,71.26,26.39968899943611,1517.247350892211
94,70.49,26.97526721255122,1585.1369704498827
95,69.82,27.522246557131737,1644.7699647138068
96,69.25,28.038172389377678,1709.6083589604445
97,68.79,28.509920882615965,1776.177686509157
98,68.16,29.084978577202815,1846.6893444067214
99,67.6,29.631108132656585,1911.877020842425
100,67.08,30.17696606820696,1975.2846794618113
101,66.51,30.755255106417813,2045.7585978592576
102,66.03,31.299077000489774,2114.0325945080444
103,65.49,31.886840916962342,2195.0286873002888
104,64.9,32.50832136565491,2286.937032114496
105,64.38,33.09232371153138,2357.740881560659
106,63.85,33.706018898513456,2447.7590365414117
107,63.35,34.321808487378505,2531.562358693436
108,62.93,34.90185848733926,2629.632866008028
109,62.35,35.58694359420064,2718.766273397588
110,61.94,36.18383358733314,2807.9064363057796
111,61.47,36.82239226732129,2897.9803975885293
112,61.05,37.44976775586742,2987.121204234339
113,60.61,38.08369490017087,3080.5789593037894
114,60.2,38.72147421071598,3185.4277763928885
115,59.8,39.368337791099655,3282.1269369025536
116,59.38,40.05453032274937,3407.112668410121
117,59.05,40.666774402067205,3503.258904397137
118,58.64,41.361117227304504,3630.2009972854967
119,58.18,42.08443301463117,3758.307145693014
120,57.68,42.84750692899992,3879.1233463358258
121,57.35,43.5086791230479,3987.9900789959356
122,56.96,44.22199119322423,4118.619139110078
123,56.62,44.90574361512946,4242.866856727441
124,56.23,45.6558045368307,4364.819638964881
125,55.89,46.37154401514692,4476.112620455299
126,55.56,47.08001374386153,4599.722545027381
127,55.18,47.84212359379297,4755.566552455582
128,54.94,48.491569903741045,4860.48152926101
129,54.5,49.311623621106456,5014.779880829098
130,54.13,50.11901614122642,5164.529533272191
131,53.66,51.02654970549178,5376.283355490654
132,53.33,51.79961640443646,5535.695415788202
133,53.0,52.58985281773841,5703.56267298295
134,52.74,53.336412128966366,5857.300156358136
135,52.45,54.11906018955081,6003.7825952769235
136,52.01,55.0488904390511,6231.196976522051
137,51.75,55.820670916731025,6399.824498232338
138,51.35,56.73557351291209,6617.140733704091
139,51.04,57.592679573776934,6791.787998920385
140,50.7,58.460271814896345,6991.585428864459
141,50.41,59.30173010392695,7175.470520569455
142,50.02,60.298082356203516,7381.352656148756
143,49.71,61.185873720510216,7586.727062391517
144,49.51,61.96763723959952,7773.234009530983
