param,avg_distance,best_distance,S0_mean,S0_95_low,S0_95_high,NND_mean,NND_95_low,NND_95_high
0.0,13.834079123446951,13.747357531404806,815.17,809.475,822.525,20.62812992495455,19.369047555263958,21.67104429680266
0.2,2.795898828606007,2.3000944900665625,168.99,155.475,185.09999999999997,54.3095143034519,50.07495581475647,59.760665988819184
0.4,1.4094814568356002,1.1065319586348485,129.56,116.475,140.52499999999998,63.9639137549687,58.54219272897419,69.24774721742988
0.6,1.249710799559852,1.0040081010530968,116.96,103.475,126.04999999999998,68.40529344125689,64.0066791686492,74.16068404771184
0.8,1.4233301287359421,1.110053650077491,109.5,99.0,119.52499999999999,71.6841252455496,64.72890062864504,78.69856573178944
1.0,1.5745509975259886,1.1282582986847807,107.52,95.0,119.57499999999997,72.87427896682684,64.40548567434377,81.35462057805509
