parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.37819999999999987,0.42677030860444043
fragment_rate,INV,PRO,0.3937999999999999,0.4230909360875429
merge_prob,INV,PRO,0.4871999999999996,0.34758704566697296
prolif_rate,INV,PRO,0.014600000000000017,0.9616740056818458
speed_scale,INV,PRO,0.3801999999999992,0.4516922894060539
speed_shape,INV,PRO,0.013799999999999956,0.9807600349244548
