t,epsilon
-1,inf
0,21.040815118568677
1,16.154058910801925
2,12.668378422547521
3,10.592180267834587
4,9.590261715304223
5,8.704436710291166
6,8.137746433025834
7,7.67505740051297
8,7.345335964958068
9,7.063901663934088
10,6.761606707630613
11,6.589167620473761
12,6.391923208451318
13,6.274308164497723
