t,PC,explained_variance_ratio
0,1,0.2685019636711997
0,2,0.20313251531754836
0,3,0.1854460722727093
0,4,0.17124762316849232
0,5,0.11417006242463255
1,1,0.31189477577141944
1,2,0.2176955935219064
1,3,0.17403771444236849
1,4,0.16029226578529207
1,5,0.1032038662962796
2,1,0.3153812703226826
2,2,0.2048406736926649
2,3,0.17357619147531764
2,4,0.17058225018855755
2,5,0.1196458994564756
3,1,0.33281259377846223
3,2,0.2180320643946595
3,3,0.18051972533825666
3,4,0.1427307366472331
3,5,0.11737401656764897
4,1,0.3335580313837216
4,2,0.23341048765941652
4,3,0.18239805186272684
4,4,0.14802175802116377
4,5,0.09652693609751768
5,1,0.3500873425427053
5,2,0.2061720490565959
5,3,0.1872390504713749
5,4,0.15584484543744037
5,5,0.09652931773742958
6,1,0.35053780958645514
6,2,0.20838355371165634
6,3,0.18877073229895583
6,4,0.15354645495424843
6,5,0.09499097632382265
7,1,0.380847301182437
7,2,0.21115689869979787
7,3,0.17178270488536868
7,4,0.13877562560511988
7,5,0.0941417436976811
8,1,0.38065488020628147
8,2,0.20689914197469206
8,3,0.18485788857569116
8,4,0.11723993443485207
8,5,0.1081249509262225
9,1,0.3765317092991579
9,2,0.20061397225185199
9,3,0.18414118772436472
9,4,0.14518306486023788
9,5,0.09120982776011857
10,1,0.371579597466828
10,2,0.20786682848328064
10,3,0.17644966456035782
10,4,0.1520249277111219
10,5,0.08916188602192056
11,1,0.4107958989193045
11,2,0.18634909034506703
11,3,0.16173381874778017
11,4,0.1444447486031497
11,5,0.09383909999991394
12,1,0.3962282843781227
12,2,0.18498061238842892
12,3,0.15991450169582022
12,4,0.15782056840092915
12,5,0.09892687547419864
13,1,0.3689020074684984
13,2,0.19156443744765192
13,3,0.17000069027209586
13,4,0.15168100191367412
13,5,0.11537172356606426
