param,distance
0.45,1.1777769634813604
0.45,1.2154870318772941
0.45,1.1132031948626409
0.45,1.4662342370981702
0.45,1.2292749713583744
0.45,1.3482283241622925
0.45,1.4649983222564098
0.45,1.1284408112039606
0.45,1.5492276410958608
0.45,1.1618710000956718
0.45,1.3103223227135772
0.45,1.361707406101081
0.45,1.175998055820858
0.45,1.0736096856732407
0.45,1.5898996209298633
0.45,1.1898115685836024
0.45,1.1736540818908796
0.45,1.3261822915928634
0.45,1.3932029180385679
0.45,1.6336283186285079
0.45,1.7027243301971566
0.45,1.3607887573277495
0.45,1.199822167171885
0.45,1.330490912046762
0.45,1.4017607781709114
0.45,1.271017265005278
0.45,1.4165807422949883
0.45,1.2271903539310238
0.45,1.9260612342937062
0.45,1.3780415074942194
0.45,1.4100178515348392
0.45,0.9766259635918474
0.45,1.1010372869577418
0.45,1.4376410231940375
0.45,1.3923896952666106
0.45,1.2934647666150283
0.45,1.2728225968206153
0.45,1.2223371516059343
0.45,1.3808278463217734
0.45,1.2155620582472126
0.45,1.4765252098581632
0.45,1.3439764180587852
0.45,1.216108766008529
0.45,1.7312381395595589
0.45,1.170320397906104
0.45,1.3913042136168157
0.45,1.4820802668721202
0.45,1.5526581915469126
0.45,1.2674840124883666
0.45,1.5980855827008564
0.45,1.3639969822786429
0.45,1.383613840599433
0.45,1.4039166651970607
0.45,1.200211339982907
0.45,1.0909721732081303
0.45,1.2651346304087572
0.45,1.100488935970244
0.45,1.2263689120416894
0.45,1.4674106538857457
0.45,1.2822193804216087
0.45,1.274093343276799
0.45,1.4155242582501575
0.45,1.3803891034608438
0.45,1.5890354724220213
0.45,1.275771070335079
0.45,1.4628953729739569
0.45,1.3909590219641954
0.45,1.4226784901738303
0.45,1.323547025426784
0.45,1.2463697570082344
0.45,1.4325948091303784
0.45,1.4603798464591442
0.45,1.333705165876314
0.45,1.3928656982839254
0.45,1.4994311821013127
0.45,1.1407713121352578
0.45,1.6283019436384873
0.45,1.189592533741421
0.45,1.2940724539640431
0.45,1.4356423609716626
0.45,1.2557716221445523
0.45,1.1825364611859408
0.45,1.3553643644636162
0.45,1.317719576993191
0.45,1.229727500740654
0.45,1.3614051472856161
0.45,1.6184527032241145
0.45,1.0350999327710748
0.45,1.3045943205214434
0.45,1.4606266502346463
0.45,1.1395297099385877
0.45,1.2119544363149766
0.45,1.308924172745347
0.45,1.5405165083212038
0.45,1.613222105297298
0.45,1.4535918381967603
0.45,1.1448312584614548
0.45,1.396201100101494
0.45,1.5675229063319147
0.45,1.186510311799017
0.46,1.2553351019303083
0.46,1.1863554803674359
0.46,1.2870885235058855
0.46,1.4070873314513412
0.46,1.2671787609150715
0.46,1.3670416458368477
0.46,1.5171372873484217
0.46,1.0891635345896482
0.46,1.4577389769441547
0.46,1.5295964318970647
0.46,1.3491939918755944
0.46,1.2783158661997207
0.46,1.4173003448870591
0.46,1.3084872244411903
0.46,1.168040263067128
0.46,1.1669225533800442
0.46,1.5182007777621556
0.46,1.1145266956570345
0.46,1.3192395069057445
0.46,1.5494460277643727
0.46,1.6339716546213643
0.46,1.3379754985205907
0.46,1.2747016581830541
0.46,1.120563500205997
0.46,1.2223085492882508
0.46,1.2305696899964036
0.46,1.3561913420750082
0.46,1.1744678789836016
0.46,1.3189125692355241
0.46,1.1585540111835932
0.46,1.3308878467837868
0.46,1.348702463056992
0.46,1.4640147680246158
0.46,1.2904946074123433
0.46,1.308678130444032
0.46,1.344347472915749
0.46,1.5211279544109595
0.46,1.4102149855330146
0.46,1.3701746353633857
0.46,1.7377262073957647
0.46,1.29500067785311
0.46,1.2021229986980455
0.46,1.3481353510427365
0.46,1.41261055421507
0.46,1.2432386172343994
0.46,1.1197449606552319
0.46,1.622432287000741
0.46,1.212618951449818
0.46,1.20514051592669
0.46,1.2735327774719893
0.46,1.7768412762812893
0.46,1.5533647451224777
0.46,1.1700997799458452
0.46,1.395494890087813
0.46,1.6418665422132706
0.46,1.2523863921526246
0.46,1.3006035619412373
0.46,1.260884850012425
0.46,1.2978239998103456
0.46,1.3350922837230395
0.46,1.1589560194871873
0.46,1.2467850576811366
0.46,1.3711476335202368
0.46,1.4110390573287945
0.46,1.2306361733784899
0.46,1.1222778640860862
0.46,1.3552745270110187
0.46,1.51144891817931
0.46,1.718132369892037
0.46,1.6026824147440064
0.46,1.1900673868289369
0.46,1.3040993915887282
0.46,1.2266176341004589
0.46,1.4723886556095962
0.46,1.1787975837761817
0.46,1.3335135504119788
0.46,1.4160403353733368
0.46,1.0700367810024765
0.46,1.2109339820808873
0.46,1.5616417546528054
0.46,1.4619005728381567
0.46,1.1974128101271315
0.46,1.295563816460508
0.46,1.2416151653505658
0.46,1.2950888148891087
0.46,1.340912745231193
0.46,1.2594990619887072
0.46,1.180160368646976
0.46,1.1425002805888962
0.46,1.4552454544391338
0.46,1.43409648826747
0.46,1.3193828709161708
0.46,1.2347607923904884
0.46,1.1848243098167204
0.46,1.6910415627014472
0.46,1.2932008354810205
0.46,1.5594799466265226
0.46,1.154552141869448
0.46,1.1607574859128587
0.46,1.263221329782281
0.47000000000000003,1.3885316787305164
0.47000000000000003,1.345908456028083
0.47000000000000003,1.4995403145018287
0.47000000000000003,1.1616968058533215
0.47000000000000003,1.413004987355622
0.47000000000000003,1.4176764711106735
0.47000000000000003,1.3831314300100546
0.47000000000000003,1.4017493595586301
0.47000000000000003,1.2880219288745247
0.47000000000000003,1.2473864094780018
0.47000000000000003,1.248605110111387
0.47000000000000003,1.2460928006447856
0.47000000000000003,1.2383204644236272
0.47000000000000003,1.239025391504065
0.47000000000000003,1.4150341954087609
0.47000000000000003,1.1010684173123548
0.47000000000000003,1.2308129557771195
0.47000000000000003,1.3221332903750733
0.47000000000000003,1.285256979141195
0.47000000000000003,1.1649859309960087
0.47000000000000003,1.2778047996918342
0.47000000000000003,1.392752874945455
0.47000000000000003,1.6916034952242327
0.47000000000000003,1.3373866433282415
0.47000000000000003,1.2417238811641462
0.47000000000000003,1.3645793942288935
0.47000000000000003,1.196283975224695
0.47000000000000003,1.4847800812292395
0.47000000000000003,1.4149064002042262
0.47000000000000003,1.2769281168212723
0.47000000000000003,1.310850372428566
0.47000000000000003,1.1501250792631654
0.47000000000000003,1.5472412161195073
0.47000000000000003,1.177809393034241
0.47000000000000003,1.320171087149138
0.47000000000000003,1.1087948809819714
0.47000000000000003,1.3206486528435293
0.47000000000000003,1.481443244104911
0.47000000000000003,1.429750346931354
0.47000000000000003,1.269593313464515
0.47000000000000003,1.324575358654396
0.47000000000000003,1.3520859781170562
0.47000000000000003,1.2027039117831235
0.47000000000000003,1.182104420221639
0.47000000000000003,1.3499849641105595
0.47000000000000003,1.2796559855115153
0.47000000000000003,1.3748776428025056
0.47000000000000003,1.181520404826176
0.47000000000000003,1.2781187592571734
0.47000000000000003,1.310092144607134
0.47000000000000003,1.2298871377817788
0.47000000000000003,1.270778573312794
0.47000000000000003,1.2885081479146299
0.47000000000000003,1.2376098938776534
0.47000000000000003,1.287147705009325
0.47000000000000003,1.5001120625810571
0.47000000000000003,1.2371085184957287
0.47000000000000003,1.1663380450010814
0.47000000000000003,1.26105527348085
0.47000000000000003,1.3252539243733494
0.47000000000000003,1.5069809615001035
0.47000000000000003,1.2986092591774627
0.47000000000000003,1.1560816387513413
0.47000000000000003,1.2608801456994685
0.47000000000000003,1.3516302540068978
0.47000000000000003,1.3879338004754995
0.47000000000000003,1.3907346712152706
0.47000000000000003,1.151162400107824
0.47000000000000003,1.3851703525298793
