step,num_clusters,mean_cluster_size,mean_squared_cluster_size
1,687.01,1.1787581969177567,1.5661926919967044
2,633.66,1.2930270488296318,2.0134065043358005
3,597.38,1.3873551348958446,2.4375750366812223
4,568.38,1.4749189014117507,2.8671018898786564
5,544.73,1.5569230690443454,3.3031584880371696
6,524.6,1.635013802481248,3.7595106890293146
7,506.91,1.7108342840314763,4.2117641070328995
8,492.15,1.7818464750687644,4.681623030843729
9,477.54,1.858181291703699,5.205799158102809
10,464.78,1.9308462130217159,5.734580587970871
11,451.52,2.0100775910032054,6.329651942546335
12,440.88,2.081810766833736,6.916719553690152
13,430.32,2.154859873125236,7.544754680540589
14,419.88,2.233299107485533,8.240442539950596
15,410.92,2.307541227576437,8.936840087016368
16,402.9,2.38075383271914,9.644583870112852
17,395.98,2.4499564672276843,10.398844285906009
18,389.28,2.5206671577940956,11.16445602244686
19,381.88,2.59974038591851,12.036601181319854
20,375.24,2.6749606740476053,12.88509488371006
21,368.81,2.751006978754323,13.798709403386923
22,363.04,2.826096909504721,14.729476008734705
23,357.47,2.902786651074667,15.7548532757548
24,351.65,2.984067918726556,16.848533044013106
25,346.02,3.0667317004135675,18.025649556634054
26,341.15,3.143838349489483,19.153191562063704
27,336.68,3.221092360394027,20.369166558796934
28,331.9,3.3046173725562897,21.731299193278033
29,328.78,3.372389886350337,22.87122785993295
30,325.38,3.4454991356890874,24.232163147954797
31,320.9,3.532075675410667,25.749534427318835
32,317.26,3.613206408049209,27.163666819057624
33,313.57,3.6968314579721304,28.658054675043942
34,309.82,3.785864842333082,30.355047986774128
35,306.42,3.8720485947247254,32.072176942829685
36,303.01,3.958854845318483,33.971891569598284
37,299.63,4.04702693316965,35.86813670723309
38,294.98,4.157491930635965,38.13675323160048
39,291.5,4.256709485747181,40.28686539643911
40,288.37,4.350008610313064,42.472481350076194
41,285.67,4.44025734764272,44.69637298049715
42,283.02,4.53167755088077,46.98602115220816
43,281.47,4.606427286765908,49.10065210359812
44,278.74,4.703697919124564,51.67447883134251
45,275.84,4.806404403159397,54.34707033557295
46,273.68,4.897280209753136,57.01377753244079
47,271.21,4.995993380923058,59.68785682872635
48,268.7,5.098297697418656,62.699591273707874
49,266.63,5.1948274796220115,65.69131212390388
50,263.55,5.31443348783969,69.18871669253622
51,261.21,5.422164326755413,72.4265459532361
52,259.22,5.523752794102746,75.71355920875169
53,257.38,5.62401353443151,79.34932457101223
54,254.92,5.742400509039114,83.46822781314145
55,253.2,5.846610226408348,87.40927573052646
56,250.85,5.967097525951237,91.47117403672189
57,249.05,6.0766081684711954,95.67674010941398
58,246.13,6.215111681536809,100.75731763801414
59,243.82,6.342409178025259,105.92829617116502
60,241.76,6.467391799551146,111.12762904928275
61,240.4,6.57302078283977,115.97126860525344
62,238.34,6.701379108036865,121.16602954586595
63,237.24,6.809299199673789,126.35097838853802
64,235.09,6.945028166718085,132.2090532320918
65,233.54,7.067063999742795,137.8768301225203
66,231.95,7.195226593796591,144.1468176384014
67,230.12,7.336996662675414,150.97935105813116
68,227.54,7.50251985559564,158.8605805502596
69,225.75,7.644561859128352,166.2472739320704
70,223.81,7.79718544800453,173.4855864491315
71,222.38,7.9356620158369875,181.07568997809256
72,221.4,8.05918579598296,187.81698351756967
73,219.24,8.231875070282443,196.18698102679463
74,217.66,8.382621096342989,205.34797709667612
75,216.82,8.509833934081199,213.7501975496688
76,215.35,8.662072567060797,222.42702555340725
77,212.94,8.859716351475845,233.55472548294608
78,211.27,9.02927225716405,243.17998907373186
79,209.99,9.183552049140625,254.4884644750315
80,208.91,9.330239001582157,264.6326305782343
81,207.51,9.498501493405717,276.20247016595073
82,206.39,9.65821762378507,287.8580673640039
83,205.05,9.828644666397635,300.0841063747507
84,203.72,9.999633537740776,312.643498515274
85,202.8,10.159238548068439,324.9783203117099
86,201.16,10.354111678375032,338.55720814214243
87,200.18,10.521475108569462,351.4866717718188
88,198.84,10.713709102163115,365.6377492130847
89,197.71,10.890910744907544,379.8860140774378
90,196.72,11.06766020815954,393.67721236992344
91,195.48,11.25941687877978,409.2909119414782
92,194.64,11.43179676095383,424.69785162221785
93,193.78,11.607167450194147,440.2663478334547
94,192.81,11.790408048878714,457.4529468562596
95,191.78,11.98343937164031,473.86074424469706
96,191.16,12.156278296189521,491.07931679570737
97,190.31,12.339465209221974,508.53075275253417
98,189.65,12.519043619542888,527.2780513423312
99,188.39,12.73935801453219,546.7861534095604
100,187.46,12.94360447352155,567.3623287038193
101,185.44,13.231919875054455,595.673043403694
102,184.47,13.439585500525988,619.6966070667067
103,184.27,13.599392998083381,639.5267997265951
104,182.45,13.882401812677243,665.8332945003061
105,181.24,14.127181867627726,691.5800813873158
106,180.05,14.382854076447709,722.1300700336083
107,178.55,14.659823764020334,751.8092304308099
108,177.22,14.926444407825135,782.9072837502628
109,176.1,15.180786483250253,814.0250466911701
110,175.45,15.40255435877971,839.8476355984089
111,174.49,15.655068011719154,867.6516796136381
112,173.55,15.912058736135098,898.1616648544355
113,172.53,16.178256219907542,931.5422650201488
114,172.09,16.392065103602278,960.8696004930842
115,171.23,16.64356676051222,992.076202328825
116,170.13,16.920146936362038,1025.9235371836576
117,169.33,17.17916669353218,1062.7714744866246
118,168.81,17.411607200851147,1097.7366117950949
119,167.68,17.709205554365195,1137.9320630789077
120,166.89,17.978690486236488,1177.7435812562624
121,165.84,18.278698390334714,1220.9379360390683
122,165.4,18.52321555674405,1262.7661769066794
123,164.43,18.82574601172094,1310.3900644836037
124,163.84,19.090260322499976,1351.8927534043657
125,163.58,19.313903506641424,1396.186183064738
126,162.54,19.648561359193344,1446.6595349899476
127,161.68,19.956102486086543,1493.818109863601
128,160.64,20.293182725979147,1549.007815731079
129,160.46,20.511692593264712,1594.323667424554
130,159.96,20.790474249352865,1645.2724158716426
131,158.73,21.147609040164912,1709.3179324974062
132,158.06,21.457236649599587,1764.0343530803395
133,156.78,21.84364466521155,1825.3475959745492
134,156.25,22.144166803955436,1884.3686885983336
135,155.82,22.419529168024404,1949.0400555519598
136,155.05,22.74630099383489,2014.3490633532733
137,154.57,23.03466045461005,2071.2863368124067
138,153.45,23.427328520043034,2140.3838661352747
139,153.1,23.70069276320758,2198.671595623545
140,152.52,24.001300694597404,2264.2701626575213
141,152.01,24.312147941483108,2335.0382325818982
142,151.7,24.594150320832913,2394.7792279311047
143,150.66,25.003890124259193,2476.2397764677376
144,149.31,25.461748502621404,2560.984732723709
