model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-884.2421014390803,1780.4842028781607,0.0,0.7310585887591227
Cell_num_prolif_cst_shed,7,-884.2421014905987,1782.4842029811973,2.0000001030366548,0.2689414112408773
