time_min,step,agent_id,x,y,radius,size,speed
16.0,16,3,1263.225077725353,749.0589254226342,9.77136677757192,2.0,1.9999999999999998
16.0,16,4,1000.2895692073571,875.0549676138843,7.755538950942392,1.0,2.0
16.0,16,6,665.456080481383,1020.5096840013575,7.755538950942392,1.0,2.0
16.0,16,7,1192.1172086630922,109.49603954350951,7.755538950942392,1.0,2.0
16.0,16,8,445.74770330316375,309.5031130375251,9.77136677757192,2.0,2.0
16.0,16,12,1244.3005255526698,832.6119184207689,7.755538950942392,1.0,1.9999999999999998
16.0,16,14,1070.5012454404705,175.23563055161625,7.755538950942392,1.0,2.0
16.0,16,15,27.079407184797446,315.2275191593929,7.755538950942392,1.0,1.9999999999999998
16.0,16,19,449.5240975160687,245.45071623502167,7.755538950942392,1.0,1.9999999999999998
16.0,16,21,462.74232662632977,603.2824876757805,7.755538950942392,1.0,2.0
16.0,16,23,234.68833256704755,452.9433671989931,11.185422719499032,3.0,1.9999999999999998
16.0,16,25,790.5475803205429,369.0599455211718,7.755538950942392,1.0,2.0
16.0,16,26,778.2075142105358,249.77748829514059,9.77136677757192,2.0,1.9999999999999998
16.0,16,27,218.99216259419018,94.93706873510946,7.755538950942392,1.0,2.0
16.0,16,32,187.6850634967625,947.4044784851836,7.755538950942392,1.0,2.0
16.0,16,33,464.5448093981382,552.739913061435,7.755538950942392,1.0,2.0
16.0,16,34,253.83179099932184,834.4809646632351,9.77136677757192,2.0,2.0
16.0,16,35,1082.9713131840963,404.0557760124968,7.755538950942392,1.0,2.0
16.0,16,36,205.0498430638002,604.854266508751,7.755538950942392,1.0,1.9999999999999998
16.0,16,37,435.3145689695893,689.5285977536442,12.311150689306295,4.0,2.0
16.0,16,39,952.1960600021192,930.5479917409132,9.771366777571922,2.0,2.0
16.0,16,40,703.4575764065631,618.1065156823935,9.77136677757192,2.0,1.9999999999999998
16.0,16,41,694.7783368396133,561.5842533250499,7.755538950942392,1.0,2.0
16.0,16,42,506.55961185100216,186.8449996416834,9.77136677757192,2.0,2.0
16.0,16,44,649.7284379567789,125.04244925773986,7.755538950942392,1.0,2.0
16.0,16,45,526.0594099487222,570.6388042888263,9.77136677757192,2.0,2.0
16.0,16,47,838.8254576440828,1015.5520454526253,11.185422719499032,3.0,2.0
16.0,16,50,431.2195807817461,820.5795029029337,7.755538950942392,1.0,2.0
16.0,16,52,903.6721200790922,105.63125727247557,9.77136677757192,2.0,2.0
16.0,16,53,1047.7142140708302,550.0362312409706,7.755538950942392,1.0,1.9999999999999998
16.0,16,55,531.9827666922621,42.67467425395063,7.755538950942392,1.0,2.0
16.0,16,56,833.4396590941419,862.3652758225589,11.185422719499034,3.0,2.0
16.0,16,57,34.832700764678584,545.7928758403169,7.755538950942392,1.0,2.0
16.0,16,60,272.7480087970299,594.477765142168,7.755538950942392,1.0,2.0
16.0,16,61,235.67743451755803,322.7616882581723,7.755538950942392,1.0,2.0
16.0,16,62,169.75053000350715,613.2458460645931,7.755538950942392,1.0,2.0
16.0,16,63,37.73768385542286,977.5395053141082,9.77136677757192,2.0,2.0
16.0,16,64,68.8905783967476,130.31534873725474,11.185422719499034,3.0,2.0
16.0,16,68,784.4507848065238,887.7768221573106,7.755538950942392,1.0,2.0
16.0,16,70,1311.259699143535,243.52542793016377,7.755538950942392,1.0,1.9999999999999998
16.0,16,71,882.4944265461044,982.7735571084745,14.09274953626919,6.0,1.9999999999999998
16.0,16,72,669.6440497147083,871.8617515345248,9.77136677757192,2.0,2.0
16.0,16,73,230.32279119991824,416.63708972337497,9.77136677757192,2.0,2.0
16.0,16,74,716.8730900514497,386.103527621661,7.755538950942392,1.0,2.0
16.0,16,75,1223.888100632808,923.9587895991284,7.755538950942392,1.0,2.0
16.0,16,76,1144.4135454809123,264.56926632765834,7.755538950942392,1.0,1.9999999999999998
16.0,16,78,690.1263980001049,52.77572187701745,9.77136677757192,2.0,1.9999999999999998
16.0,16,80,876.508147257177,152.70642198593427,9.77136677757192,2.0,2.0
16.0,16,81,272.05313902361723,393.10159313963374,9.77136677757192,2.0,2.0
16.0,16,82,1294.187931173545,691.4547557129964,9.77136677757192,2.0,2.0
16.0,16,83,1213.3148767049447,642.7661765289415,7.755538950942392,1.0,2.0
16.0,16,85,625.0387820982174,338.1678130070885,7.755538950942392,1.0,2.0
16.0,16,86,80.92125279365692,526.1295792052823,7.755538950942392,1.0,2.0
16.0,16,88,1085.6594034551454,128.95370276732473,7.755538950942392,1.0,2.0
16.0,16,89,116.48258384700944,333.59706786550873,7.755538950942392,1.0,2.0
16.0,16,90,1280.992109757917,610.8719251791354,9.771366777571922,2.0,2.0
16.0,16,91,327.5239092034597,924.7228172147479,7.755538950942392,1.0,2.0
16.0,16,92,37.93018235584831,682.8458715990979,13.26178505962571,5.0,2.0
16.0,16,93,78.23940464304857,710.7550318676143,7.755538950942392,1.0,2.0
16.0,16,94,1265.1312190567576,415.60288747996793,7.755538950942392,1.0,2.0
16.0,16,95,1070.6687011968854,603.6545322705133,7.755538950942392,1.0,2.0
16.0,16,97,607.831719755271,598.2746290117202,7.755538950942392,1.0,2.0
16.0,16,99,459.8541640068417,52.057770045236,11.185422719499034,3.0,2.0
16.0,16,103,825.6278717615053,408.97617681763586,7.755538950942392,1.0,2.0
