softness,fragment_minsep_factor,avg_fit,best_fit,final_S0,final_S1,final_S2,final_NND
0.0,1.05,1.2460151449709809,1.0102435890106758,118.39,15.330368305357371,457.8546453197546,68.17644452887347
0.0,1.2,1.2703321313151958,1.0061213850636692,116.72,15.681314429900903,484.66456575066076,68.99862331630457
0.0,1.4,1.2420843462223572,1.019098544225796,117.99,15.43064665444376,470.4278612146635,68.84425703622856
0.0,1.6,1.2839352331517013,1.0115769565239037,118.31,15.41308287350009,479.8391261656829,67.76089590433861
0.0,1.8,1.2720176207674825,1.0197469266622188,118.7,15.343975779920838,473.4090241574724,68.38477647903059
0.0,2.0,1.2575307176659571,1.002201653570824,118.49,15.372044583051581,464.375186154655,68.29607204865572
0.05,1.05,1.2499994456819534,1.0547306219047512,116.53,15.64104125304327,479.08665093163233,68.51230234964987
0.05,1.2,1.2543482833968225,1.0194873932736235,118.4,15.364778203534229,469.4778592876379,67.80872684636016
0.05,1.4,1.2588080912731159,1.030634952768371,119.43,15.257653962029778,456.62688632393025,67.16712777059583
0.05,1.6,1.2601413534117196,0.982992119656499,118.71,15.321960900047516,469.48903853809827,67.21112638571763
0.05,1.8,1.2332597943665362,0.9564201512724761,117.68,15.451225595911342,470.92918398258445,68.5761334695029
0.05,2.0,1.2905279484953243,0.9796813245133692,117.9,15.459911225745907,476.60967713176814,67.99485346546247
0.1,1.05,1.2433814463525703,0.9871704016982282,118.25,15.414715208732305,467.2988579161423,68.04576515080777
0.1,1.2,1.2444411370790507,1.0135295860937292,119.34,15.216196900968798,456.9097147149844,67.51038355789336
0.1,1.4,1.264703334399408,0.9917068513946722,117.49,15.586388226774101,476.80940721673636,68.3533095728656
0.1,1.6,1.2548269284994158,0.9913056036045731,118.37,15.383735789209041,468.572361745209,67.758353023783
0.1,1.8,1.2469676971715915,0.9878475192640934,118.4,15.362632923513305,470.2069659168644,67.4855950308076
0.1,2.0,1.258420134697942,1.003274634934128,119.52,15.257788223592321,464.91887720916003,68.17922066151347
0.15,1.05,1.2666368070123861,1.006620850627976,119.61,15.185422572742661,453.4299195706821,67.65472495384024
0.15,1.2,1.2368557027603866,1.0046704097649177,118.22,15.33412430341006,465.82648931742006,68.13417494339821
0.15,1.4,1.279951364540339,1.042235580511668,119.02,15.347649618793211,468.3017365978027,68.09078251200096
0.15,1.6,1.2469784509202442,0.9928597799495456,119.98,15.183346899725429,458.4680877202871,67.09319749721101
0.15,1.8,1.2401321223786947,1.0296444953089476,119.7,15.224388273334236,463.3892321674947,67.94779630603576
0.15,2.0,1.2439159326813263,0.9674740325351088,119.88,15.206160265292464,460.4425218336153,68.30139023849313
0.2,1.05,1.2527281247709583,0.9501515972025257,120.3,15.144190099414622,454.58617611667205,66.84130325789589
0.2,1.2,1.2521374420203888,0.9840682117565193,120.99,15.035373767694134,450.2265846786491,67.5167924165918
0.2,1.4,1.2737137973814958,1.0028674532153308,119.87,15.173980326099286,456.15580622735337,67.05033601470338
0.2,1.6,1.2833205515149877,1.079738760944529,121.12,15.075987815257664,462.6363132832796,67.1881726927346
0.2,1.8,1.2567685166632656,0.9274598400036003,121.19,14.994113116662545,446.602914499208,67.08662063206464
0.2,2.0,1.2807338074573988,1.0525512566581026,120.96,15.062383486722615,450.21882063637094,67.27933591838456
0.25,1.05,1.2540123222186472,1.0276905524810098,120.62,15.10170519990268,449.18562401637973,66.8211190450483
0.25,1.2,1.281157979590555,0.9665613240394436,120.85,15.089886370558222,449.15256124018117,67.16575566710017
0.25,1.4,1.2542496955504614,1.0204669256550472,119.77,15.1874474253532,454.9361488212144,67.42549252115447
0.25,1.6,1.2756582768495628,0.9726817296009574,121.61,14.95368769410541,443.81989817990075,66.87705805763905
0.25,1.8,1.266373552237555,0.9177062651586163,121.93,14.949399516043734,443.34034224756545,66.98592520046606
0.25,2.0,1.2505783318924655,1.0253464644379768,121.71,14.997633146742265,445.4997325148125,66.6500181318225
0.3,1.05,1.2524228037310394,0.9353764600989543,121.8,14.99316107428735,444.6080649189933,66.57302825187793
0.3,1.2,1.274603398327043,0.9283103994901835,121.7,14.887871920842938,437.40791369886387,66.82328553637915
0.3,1.4,1.2749732792170405,1.0661207259243048,122.75,14.782374711021834,434.5844836866366,66.45181172918576
0.3,1.6,1.2543023204895494,1.0032524471188162,121.74,14.925006343960625,446.039384259835,67.13141020847503
0.3,1.8,1.2712904465465997,0.9606596754672662,122.68,14.853575415174882,444.4447722106527,66.44182072766439
0.3,2.0,1.2778697558845575,1.0023845992121891,123.0,14.774219536253606,436.6651117740671,66.4513918587036
