timestep,disc_med,disc_q05,disc_q95
22,67.10635445548172,51.04044600817798,93.3845029430293
23,69.57256292267056,53.187449736308835,95.92554928960989
24,68.94464188573403,52.968328739292595,93.75946593630673
25,61.920592101846374,43.06556929069464,86.786354038668
26,73.74975907957707,50.935139743404314,98.07265622513799
27,71.67309002397468,49.98440533892927,95.37074803805177
28,68.07885319311113,43.55132816812072,94.49012100456716
29,68.54901377774343,44.80747278995598,93.59486194343705
30,72.87684475539365,48.33891366638156,99.60332812883067
31,72.98296065509015,48.03269106740018,100.84992572376021
32,79.32830460118885,56.88191818574981,100.21218434839858
33,78.98392847095846,55.02726563502319,101.24132909358944
34,79.12815218225572,56.442565543065484,103.3251103854789
35,82.49236163589674,61.46727760475817,105.34291255062725
36,81.08689539679959,58.24808598428112,103.48898830081103
37,83.8353578038778,61.84409777221551,107.17433187882644
38,83.86227128908698,62.46320672691487,106.06024021921527
39,89.31704032068482,67.14833216766475,110.2624317826548
40,88.86244854169183,65.38135932965127,108.29073017625446
41,89.83997881703655,64.58277269823292,108.72747487380668
42,92.09922163928887,66.80290485170484,111.74893983870739
43,101.33542138087213,75.63757032485071,119.01887200812378
44,99.22595107732411,78.0115387489385,118.01531222086776
45,100.58427411190395,77.6862509997642,119.09811130332074
46,98.80635211927836,77.60699776590452,118.05442314175755
47,107.3493086282295,85.82069612974664,125.43335711324872
48,106.8529998252344,85.4678345615466,125.43246427766893
49,109.75372639104944,89.29184045884965,127.15916699300804
50,106.54431580610105,88.1797142366012,123.34310401571982
51,109.63283907921016,86.68815878615213,125.83854855209897
52,107.8324434054962,85.93544524885816,124.8538074223739
53,112.14277174589108,91.76035924386339,129.06462129669262
54,117.77302284075665,98.04775112538148,133.7428700759969
55,117.95973537929565,98.52784173417871,135.1366412858816
56,119.1526461873255,101.96208232414989,135.14430047995128
57,124.80313256561283,107.26804099960466,143.68402009272768
58,130.94194741071382,114.70524204827906,151.96501148370373
59,129.39943300821471,111.36730695536194,150.15000641471545
60,128.93288760061887,109.7270964814584,145.7707021570883
61,124.40638017395969,107.15504356865588,147.6594062080385
62,125.76816211117793,107.77682707971405,149.4837692372909
63,126.45653493984807,110.04844461990427,148.95902030166044
64,126.78489368114262,109.9934982315308,151.73547979699217
65,141.37355292941123,120.5280736373096,176.4835248941801
66,148.6194835621613,125.6319556648784,192.53529166773848
67,138.32710313309286,118.66027891633439,177.08754873520652
68,150.65666646355686,126.02010648655191,201.6863963348186
69,171.6402129563579,131.3238136153102,230.99033626592973
70,215.0131000457261,144.68814082153278,288.0746592190729
71,217.91957516844087,144.43864547030992,297.9131319606362
72,209.54569889921947,138.63117819242663,290.02079189953844
73,193.9261933965585,132.71038053644114,276.73264743919617
74,177.2145567647752,129.40032164155852,265.5610652523839
