model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-848.0927318246019,1708.1854636492037,0.0,0.7310587848874607
Cell_num_prolif_cst_shed,7,-848.0927328736608,1710.1854657473216,2.000002098117875,0.2689412151125393
no_prolif_no_shed,5,-966.0623159978811,1942.1246319957622,233.93916834655852,1.1606662155809134e-51
