step,mean,lower_95,upper_95
253,5827.17,5388.8,6277.725
254,5850.48,5410.375,6305.625
255,5873.77,5432.425,6333.05
256,5896.93,5453.9,6360.0
257,5920.04,5477.0,6386.575
258,5943.14,5499.525,6414.2
259,5965.99,5520.0,6439.725
260,5988.92,5542.575,6466.725
261,6011.75,5562.575,6494.349999999999
262,6034.37,5583.575,6521.45
263,6057.09,5604.675,6548.5
264,6079.67,5625.3,6574.075
265,6102.11,5645.875,6601.65
266,6124.7,5666.4,6628.175
267,6147.13,5687.45,6653.275
268,6169.52,5708.5,6677.849999999999
269,6191.86,5729.075,6701.849999999999
270,6214.31,5749.125,6726.849999999999
271,6236.57,5770.175,6751.424999999999
272,6258.9,5790.275,6775.95
273,6280.96,5810.85,6799.575
274,6303.23,5828.375,6823.15
275,6325.29,5847.475,6846.724999999999
276,6347.5,5867.05,6870.874999999999
277,6369.38,5887.15,6895.499999999999
278,6391.27,5906.775,6920.075
279,6412.83,5925.3,6943.65
280,6434.57,5943.875,6966.749999999999
281,6456.18,5963.975,6989.799999999999
282,6477.78,5982.6,7013.949999999999
283,6499.22,6002.225,7037.049999999999
284,6520.62,6021.8,7061.674999999999
285,6541.95,6039.85,7085.775
286,6563.33,6057.9,7109.824999999999
287,6584.55,6076.95,7133.449999999999
288,6605.86,6095.525,7157.499999999999
289,6627.1,6114.675,7181.549999999999
290,6648.37,6132.25,7206.074999999999
291,6669.37,6149.775,7230.124999999999
292,6690.11,6166.825,7253.649999999999
293,6710.97,6185.4,7277.174999999999
294,6731.84,6203.45,7299.224999999999
295,6752.46,6221.975,7321.749999999999
296,6773.14,6240.025,7345.749999999999
297,6793.66,6256.6,7368.649999999999
298,6814.22,6273.65,7392.024999999999
299,6834.65,6291.275,7414.4
300,6855.11,6308.85,7437.249999999999
301,6875.56,6325.9,7459.624999999999
302,6895.95,6343.475,7481.999999999999
303,6916.35,6360.375,7504.9
304,6936.73,6377.8,7528.275
305,6956.9,6394.225,7551.174999999999
306,6977.04,6410.175,7573.549999999999
307,6997.15,6426.65,7596.4
308,7017.24,6443.125,7618.825
309,7037.2,6459.075,7641.25
310,7057.32,6475.55,7663.625
311,7077.2,6491.5,7684.525
312,7097.12,6507.975,7705.9
313,7116.88,6523.975,7727.799999999999
314,7136.62,6539.925,7750.175
315,7156.2,6556.4,7771.599999999999
316,7175.78,6572.875,7794.025
317,7195.43,6588.825,7815.4
318,7214.93,6604.825,7837.775
319,7234.38,6621.3,7859.2
320,7253.84,6637.775,7880.625
321,7273.26,6653.775,7902.575
322,7292.47,6669.25,7924.0
323,7311.7,6685.725,7944.625
324,7330.76,6702.2,7964.775
325,7350.03,6718.675,7984.925
326,7369.03,6735.15,8005.025
327,7388.07,6751.625,8025.65
328,7407.1,6768.1,8045.799999999999
329,7426.01,6784.575,8065.9
330,7444.81,6801.05,8085.049999999999
331,7463.52,6817.525,8104.674999999999
332,7482.36,6834.0,8123.825
333,7501.17,6850.475,8143.499999999999
334,7519.86,6866.95,8163.7
335,7538.52,6883.425,8183.374999999999
336,7557.03,6899.425,8202.474999999999
337,7575.6,6915.9,8222.099999999999
338,7594.17,6932.9,8240.25
339,7612.74,6949.375,8258.4
340,7631.14,6965.85,8277.5
341,7649.52,6981.85,8295.599999999999
342,7667.77,6998.325,8313.699999999999
343,7685.99,7014.8,8331.374999999998
344,7704.12,7031.275,8349.05
345,7722.3,7048.275,8367.199999999999
346,7740.49,7065.275,8384.874999999998
347,7758.63,7081.75,8402.499999999998
348,7776.79,7098.225,8423.974999999999
349,7794.72,7114.7,8445.4
350,7812.6,7130.65,8466.824999999999
351,7830.38,7146.6,8488.775
352,7848.21,7162.55,8510.724999999999
353,7865.99,7178.55,8533.15
354,7883.73,7194.025,8555.05
355,7901.35,7209.5,8575.949999999999
356,7919.05,7224.975,8596.849999999999
357,7936.59,7239.5,8618.8
358,7954.04,7253.075,8640.224999999999
359,7971.48,7266.65,8661.65
360,7988.7,7279.75,8682.074999999999
361,8005.94,7293.325,8703.025
362,8023.14,7306.9,8723.449999999999
363,8040.33,7320.475,8743.4
364,8057.55,7335.05,8763.875
365,8074.77,7348.625,8783.824999999999
366,8091.9,7361.725,8803.775
367,8108.95,7374.775,8823.675
368,8125.97,7387.825,8843.574999999999
369,8142.84,7400.875,8863.0
370,8159.7,7413.925,8882.425
