scenario,csv_path,p,a,y0,y_win,window_steps
scenario_00__mode_singletons_phase2_fit_all__a_0p5,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_00__mode_singletons_phase2_fit_all__a_0p5/coag_prob.csv,,0.5,6.0275362894526e-05,4.9026346803484044e-05,25
scenario_01__mode_singletons_phase2_fit_all__a_0p7,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_01__mode_singletons_phase2_fit_all__a_0p7/coag_prob.csv,,0.7,7.69547261064953e-05,6.364051761290517e-05,25
scenario_02__mode_singletons_phase2_fit_all__a_0p9,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_02__mode_singletons_phase2_fit_all__a_0p9/coag_prob.csv,,0.9,9.129195117610704e-05,7.930750933652676e-05,25
scenario_03__mode_singletons_phase2_fit_all__a_1p1,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_03__mode_singletons_phase2_fit_all__a_1p1/coag_prob.csv,,1.1,0.0001071663417236,9.515246662573866e-05,25
scenario_04__mode_singletons_phase2_fit_all__a_1p3,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_04__mode_singletons_phase2_fit_all__a_1p3/coag_prob.csv,,1.3,0.0001229221133677,0.00011117546851308799,25
scenario_05__mode_singletons_phase2_fit_all__a_1p5,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_05__mode_singletons_phase2_fit_all__a_1p5/coag_prob.csv,,1.5,0.0001407511341655,0.00012934618832826,25
scenario_06__mode_singletons_phase2_fit_all__a_1p7,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_06__mode_singletons_phase2_fit_all__a_1p7/coag_prob.csv,,1.7,0.0001547630782548,0.000148737371147896,25
scenario_07__mode_singletons_phase2_fit_all__a_1p9,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_07__mode_singletons_phase2_fit_all__a_1p9/coag_prob.csv,,1.9,0.0001736876946024,0.00016767524275020402,25
scenario_08__mode_singletons_phase2_fit_all__a_2p1,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_08__mode_singletons_phase2_fit_all__a_2p1/coag_prob.csv,,2.1,0.0001887878223193,0.00018798569791162,25
scenario_09__mode_singletons_phase2_fit_all__a_2p3,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_09__mode_singletons_phase2_fit_all__a_2p3/coag_prob.csv,,2.3,0.0002065274173344,0.00020585197506004397,25
scenario_10__mode_singletons_phase2_fit_all__a_2p5,./Parameter_sweeps_results/2026-03-25_163508/coagulation_analysis_tagged/scenario_10__mode_singletons_phase2_fit_all__a_2p5/coag_prob.csv,,2.5,0.0002289063549866,0.000231869628027944,25
