varying,a_held,n_points,S,S_CI_lo,S_CI_hi,b,b_CI_lo,b_CI_hi,R2,x_min,x_max,p_held
p,0.5,5,6.019764486585286e-05,5.547745032201045e-05,6.491783940969528e-05,6.929504850147027,4.788353605186923,9.070656095107132,0.9819886703804542,0.6929504850147028,6.236554365132324,
p,0.9,5,0.00011030344487854036,0.00010323833478666832,0.00011736855497041239,4.389041262939997,3.5048489900478605,5.273233535832133,0.99459052794818,0.43890412629399966,3.950137136645997,
p,1.3,5,0.00016983921372080364,0.0001613951357405561,0.00017828329170105117,3.3634143884129695,2.9012590673930525,3.8255697094328864,0.9979688613931983,0.33634143884129697,3.0270729495716724,
p,1.7,5,0.00024439142445821835,0.00022709033783103352,0.0002616925110854032,2.640570882759366,2.179952470281304,3.101189295237428,0.997345449952418,0.2640570882759366,2.3765137944834294,
p,2.1,5,0.0003385557266057221,0.0003145663709203416,0.00036254508229110257,2.129322988848679,1.792412457439499,2.466233520257859,0.998194086556705,0.21293229888486792,1.9163906899638112,
p,2.5,5,0.0004533230172168491,0.0003914469236296313,0.0005151991108040669,1.8347327659454704,1.3110049048442276,2.358460627046713,0.994845663950774,0.18347327659454704,1.6512594893509234,
a,,6,0.00011259704603799298,7.264899371808427e-05,0.00015254509835790168,0.5018622973515352,0.17186442945286973,0.8318601652502007,0.9509390623431064,0.2509311486757676,1.2546557433788381,0.1
a,,6,0.0008173211317087861,0.0003412324090454069,0.0012934098543721654,0.09347353072444996,0.02916618150147196,0.15778087994742795,0.9951701645898281,0.04673676536222498,0.2336838268111249,0.3
a,,6,0.005915570258436693,-0.012459011661438358,0.024290152178311746,0.014717561248197987,-0.032344288005857084,0.06177941050225306,0.9966813421677857,0.0073587806240989935,0.036793903120494964,0.5
a,,6,0.04264754376471997,-1.2447878799790522,1.3300829675084922,0.0022903440270258175,-0.06716891076611732,0.07174959882016894,0.9930798505170169,0.0011451720135129087,0.0057258600675645435,0.7
a,,6,0.04837488329865296,-2.0654747818730206,2.162224548470326,0.002172264138249768,-0.0931648685129599,0.09750939678945943,0.9877920019723981,0.001086132069124884,0.00543066034562442,0.9
