step,num_clusters,mean_cluster_size,mean_squared_cluster_size
1,681.53,1.1806836795882572,1.5689824400908157
2,623.0,1.2987689564425902,2.0344623021481936
3,584.16,1.3919804045000688,2.4442927085449377
4,553.44,1.4764411809828613,2.8407796461339605
5,526.17,1.5606973447120733,3.265239168328195
6,502.98,1.6419927585166878,3.722007054821926
7,482.84,1.7195735911674073,4.164982580801896
8,464.14,1.798157230466796,4.650552375249609
9,447.03,1.8771760011201695,5.147728580819372
10,430.94,1.9575541552472004,5.696861790363666
11,415.74,2.040295533665156,6.287537146653458
12,402.45,2.1179546481809726,6.867576017312521
13,390.22,2.195852260842441,7.480441249322322
14,377.99,2.278884123677314,8.145989963107201
15,367.49,2.355590045443875,8.788623354236396
16,357.09,2.436147412879947,9.50397454511791
17,346.81,2.521431564667925,10.264274722066775
18,337.35,2.604729278285491,11.056372628128427
19,328.36,2.689331262112787,11.863479525993599
20,319.86,2.7756522990696824,12.733413486899883
21,311.85,2.8614552182042736,13.634000356863663
22,304.31,2.9473323574796577,14.563956115866029
23,296.88,3.0375073790036136,15.570049070544263
24,290.09,3.1242168999455835,16.566938132454275
25,283.3,3.2152033796722,17.633830486170613
26,276.26,3.313511585784249,18.84075606589523
27,270.49,3.4000457759223472,19.896558848078563
28,264.78,3.4914077276873807,21.042032162611708
29,259.05,3.5886618140885367,22.3451313606458
30,253.45,3.6862325330208865,23.633113921019927
31,248.57,3.7785337408678736,24.932795478855187
32,243.81,3.8710208781811684,26.32461807309081
33,239.34,3.964513482721118,27.764618082546267
34,234.23,4.073198753909786,29.454656505230663
35,230.01,4.1685602866958735,30.86575581598912
36,225.77,4.269450263463587,32.41247699595561
37,221.48,4.373615847996544,34.05528411357084
38,217.61,4.475287203481603,35.7880092994636
39,213.56,4.586569347881689,37.77200655863499
40,209.78,4.690752302731884,39.69419753124132
41,206.12,4.799084905236238,41.69570294522304
42,202.8,4.902175194427644,43.62715133635165
43,199.52,5.00916022250211,45.6178632257736
44,196.12,5.121486094047274,47.85039321631466
45,192.92,5.234225948972895,49.99404449096268
46,190.22,5.336504261738164,52.059543561775165
47,187.38,5.4475032907584,54.48029227840419
48,184.5,5.5608009062896295,56.88689969079726
49,181.63,5.677465709278217,59.473547191698636
50,178.97,5.790289293588078,62.074316970450525
51,176.61,5.899310681807866,64.54527139896447
52,174.32,6.009662885050618,67.03128275612809
53,171.78,6.129724143246392,69.84177973012355
54,169.26,6.249448015636484,72.6995781570356
55,166.9,6.370261497509073,75.6775602109071
56,164.76,6.4834094670737965,78.43495058912505
57,162.72,6.597430129902769,81.30932431699415
58,160.57,6.722905798252446,84.65605628043683
59,158.55,6.844142505352681,87.77214745913997
60,156.55,6.96700672696993,91.07480532868303
61,154.47,7.098884865175919,94.65145366689299
62,152.71,7.2177885922083815,98.01402834061828
63,150.75,7.347614834326379,101.5815678801251
64,148.91,7.4750022608555025,105.58343284940688
65,147.12,7.602188198016769,109.18150420623125
66,145.35,7.735351261149845,113.3900435392578
67,143.66,7.865552052128532,117.36996092241866
68,141.81,8.00911922223026,121.92738837902964
69,140.26,8.138298288611292,125.9676655441111
70,138.65,8.271710387714483,130.33130790079676
71,136.95,8.41588051933614,135.06111113417765
72,135.34,8.558234520030755,139.58145406726752
73,133.63,8.706767193765268,144.71926329450372
74,132.25,8.842838382072467,149.66260801809565
75,130.89,8.981243628958657,154.42707570710897
76,129.54,9.12086917955078,159.64985504577373
77,127.97,9.28119170343041,165.6481140663131
78,126.63,9.429248248203,171.1653688821832
79,125.45,9.568438799286557,176.29418569537305
80,124.1,9.719789072291613,182.30093888253242
81,122.83,9.872194546520317,188.47414278753345
82,121.38,10.041140821244642,194.7688301369397
83,120.13,10.197215206392926,201.1278355324021
84,119.16,10.329709343494235,206.7336864441599
85,117.99,10.485427170090418,213.26944942451263
86,116.91,10.636174798656732,219.00749031489556
87,115.66,10.803541258658754,226.47797762154576
88,114.62,10.959293421188766,233.38134447338575
89,113.38,11.135193617819162,241.29355018320544
90,112.31,11.29630192695841,248.4978104950539
91,111.45,11.442410064520944,255.19365148176504
92,110.5,11.597589479880385,261.62530347592553
93,109.58,11.755162893256534,268.55456696594734
94,108.73,11.904937907397725,275.3773343551573
95,107.65,12.084636348656097,283.67495316339136
96,106.72,12.251545882243825,293.04032330131463
97,105.93,12.40483943853469,300.430615140696
98,105.16,12.558194789624443,307.7181769032098
99,104.22,12.731674911666403,316.22793336895995
100,103.38,12.901815620543315,325.8627314521633
101,102.53,13.069007458747748,334.3055193007073
102,101.65,13.253866333694177,344.004657005409
103,101.04,13.400910776000662,351.3668341657747
104,100.23,13.575445941913006,360.7806347279487
105,99.5,13.744069761600224,370.2287426934536
106,98.71,13.923302845069033,379.17558395120864
107,98.18,14.075439989243861,387.0935275601345
108,97.47,14.255264443954722,397.459857585024
109,96.71,14.439120394119756,407.5030770153811
110,96.06,14.610758446555819,417.0449073230071
111,95.39,14.784292006409501,426.7688048741895
