model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-1473.2695422435863,2958.5390844871727,0.0,0.7310585486284935
Cell_num_prolif_cst_shed,7,-1473.2695420909938,2960.5390841819876,1.99999969481496,0.26894145137150655
no_prolif_no_shed,5,-2130.560267069693,4271.120534139386,1312.5814496522135,6.926468183319098e-286
