step,hours,S0,S1,S2,Ncells
0,0.0,1000.0,1.0,1.0,1000.0
1,0.5,765.0,1.3163398692810457,2.0483660130718953,1007.0
2,1.0,660.0,1.5333333333333334,3.06969696969697,1012.0
3,1.5,606.0,1.674917491749175,3.8333333333333335,1015.0
4,2.0,550.0,1.8563636363636364,4.9,1021.0
5,2.5,512.0,2.005859375,5.720703125,1027.0
6,3.0,484.0,2.1363636363636362,6.81404958677686,1034.0
7,3.5,455.0,2.292307692307692,7.993406593406593,1043.0
8,4.0,434.0,2.4170506912442398,8.900921658986174,1049.0
9,4.5,406.0,2.5985221674876846,10.386699507389162,1055.0
10,5.0,385.0,2.755844155844156,11.711688311688311,1061.0
11,5.5,369.0,2.883468834688347,12.796747967479675,1064.0
12,6.0,356.0,3.002808988764045,13.991573033707866,1069.0
13,6.5,346.0,3.1040462427745665,15.439306358381502,1074.0
14,7.0,334.0,3.2365269461077846,17.224550898203592,1081.0
15,7.5,327.0,3.3211009174311927,18.116207951070336,1086.0
16,8.0,317.0,3.451104100946372,19.646687697160882,1094.0
17,8.5,296.0,3.7195945945945947,22.760135135135137,1101.0
18,9.0,283.0,3.908127208480565,25.53356890459364,1106.0
19,9.5,272.0,4.080882352941177,27.705882352941178,1110.0
20,10.0,262.0,4.2748091603053435,30.51145038167939,1120.0
21,10.5,256.0,4.40234375,32.17578125,1127.0
22,11.0,252.0,4.511904761904762,33.392857142857146,1137.0
23,11.5,236.0,4.838983050847458,39.20338983050848,1142.0
24,12.0,230.0,4.98695652173913,41.60434782608696,1147.0
25,12.5,230.0,5.004347826086956,41.98695652173913,1151.0
26,13.0,221.0,5.230769230769231,46.09049773755656,1156.0
27,13.5,217.0,5.350230414746544,48.65898617511521,1161.0
28,14.0,211.0,5.545023696682464,51.677725118483416,1170.0
29,14.5,206.0,5.703883495145631,54.27669902912621,1175.0
30,15.0,202.0,5.846534653465347,58.084158415841586,1181.0
31,15.5,197.0,6.030456852791878,61.857868020304565,1188.0
32,16.0,191.0,6.2408376963350785,66.94240837696336,1192.0
33,16.5,188.0,6.367021276595745,69.0372340425532,1197.0
34,17.0,186.0,6.446236559139785,70.53225806451613,1199.0
35,17.5,182.0,6.615384615384615,76.24175824175825,1204.0
36,18.0,177.0,6.830508474576271,79.37288135593221,1209.0
37,18.5,176.0,6.931818181818182,81.38636363636364,1220.0
38,19.0,170.0,7.211764705882353,86.50588235294117,1226.0
39,19.5,169.0,7.289940828402367,88.27218934911242,1232.0
40,20.0,167.0,7.407185628742515,91.8502994011976,1237.0
41,20.5,164.0,7.585365853658536,98.08536585365853,1244.0
42,21.0,161.0,7.763975155279503,104.88198757763975,1250.0
43,21.5,158.0,7.943037974683544,108.82911392405063,1255.0
44,22.0,156.0,8.10897435897436,113.09615384615384,1265.0
45,22.5,154.0,8.272727272727273,117.50649350649351,1274.0
46,23.0,151.0,8.490066225165563,127.20529801324503,1282.0
47,23.5,150.0,8.606666666666667,132.71333333333334,1291.0
48,24.0,148.0,8.777027027027026,136.6418918918919,1299.0
49,24.5,147.0,8.877551020408163,139.82993197278913,1305.0
50,25.0,146.0,8.965753424657533,143.56849315068493,1309.0
51,25.5,142.0,9.26056338028169,153.95070422535213,1315.0
52,26.0,140.0,9.457142857142857,166.7,1324.0
53,26.5,139.0,9.553956834532373,169.568345323741,1328.0
54,27.0,139.0,9.640287769784173,172.40287769784172,1340.0
55,27.5,138.0,9.746376811594203,177.68840579710144,1345.0
56,28.0,134.0,10.059701492537313,186.55223880597015,1348.0
57,28.5,132.0,10.303030303030303,198.45454545454547,1360.0
58,29.0,131.0,10.442748091603054,202.4885496183206,1368.0
59,29.5,126.0,10.912698412698413,219.27777777777777,1375.0
60,30.0,124.0,11.14516129032258,241.6451612903226,1382.0
61,30.5,122.0,11.39344262295082,251.7377049180328,1390.0
62,31.0,120.0,11.658333333333333,271.84166666666664,1399.0
63,31.5,119.0,11.815126050420169,280.01680672268907,1406.0
64,32.0,119.0,11.857142857142858,282.3781512605042,1411.0
65,32.5,117.0,12.102564102564102,293.14529914529913,1416.0
66,33.0,117.0,12.145299145299145,294.9316239316239,1421.0
67,33.5,117.0,12.188034188034187,297.86324786324786,1426.0
68,34.0,114.0,12.56140350877193,318.6842105263158,1432.0
69,34.5,113.0,12.68141592920354,322.23893805309734,1433.0
70,35.0,111.0,12.981981981981981,336.02702702702703,1441.0
71,35.5,111.0,13.00900900900901,337.27927927927925,1444.0
72,36.0,110.0,13.190909090909091,344.3545454545455,1451.0
73,36.5,110.0,13.263636363636364,349.1,1459.0
74,37.0,110.0,13.3,351.75454545454545,1463.0
75,37.5,108.0,13.62037037037037,364.9537037037037,1471.0
76,38.0,107.0,13.794392523364486,377.68224299065423,1476.0
77,38.5,106.0,13.99056603773585,393.10377358490564,1483.0
78,39.0,104.0,14.307692307692308,407.6730769230769,1488.0
79,39.5,101.0,14.811881188118813,425.08910891089107,1496.0
80,40.0,100.0,15.04,436.02,1504.0
81,40.5,100.0,15.07,438.97,1507.0
82,41.0,99.0,15.292929292929292,448.44444444444446,1514.0
83,41.5,97.0,15.65979381443299,474.29896907216494,1519.0
84,42.0,96.0,15.895833333333334,489.4166666666667,1526.0
85,42.5,96.0,15.958333333333334,494.8541666666667,1532.0
86,43.0,95.0,16.221052631578946,509.4842105263158,1541.0
87,43.5,94.0,16.46808510638298,520.8723404255319,1548.0
88,44.0,94.0,16.53191489361702,525.8510638297872,1554.0
89,44.5,94.0,16.606382978723403,530.5425531914893,1561.0
90,45.0,94.0,16.69148936170213,537.563829787234,1569.0
91,45.5,94.0,16.71276595744681,539.9468085106383,1571.0
92,46.0,94.0,16.75531914893617,541.9255319148937,1575.0
93,46.5,94.0,16.819148936170212,546.1382978723404,1581.0
94,47.0,91.0,17.45054945054945,581.8021978021978,1588.0
95,47.5,90.0,17.72222222222222,594.4333333333333,1595.0
