p_merge,fragment_rate,avg_fit,best_fit,final_S0,final_S1,final_S2,final_NND
0.65,0.0005,1.295406954677431,0.9787484773254652,115.5,15.76170012311773,486.76666017994876,69.42259487681888
0.65,0.001,1.2910590537004705,1.0333601785139015,115.63,15.83805219309037,498.32231353000475,69.25477011289648
0.65,0.0015,1.2984172365140854,1.0982258664533322,117.02,15.556782074178352,477.3747790363602,68.70863939010168
0.65,0.002,1.300806502006262,0.9799756622673924,117.26,15.567884418346791,486.9230608424668,68.42076232269442
0.675,0.0,1.3431139036179907,1.044996674694396,113.33,16.08904383829383,495.8427951040596,69.54964150896541
0.675,0.0005,1.3348004713823909,1.0285102167138824,113.42,16.12638643288445,509.7729167568716,69.2115033901312
0.675,0.001,1.2756604396730356,1.0606738868451684,115.23,15.792021218019418,491.7904486208273,69.12790693517208
0.675,0.0015,1.3134217206192897,1.0096531784159344,115.37,15.78141990064545,499.41042899179297,69.29653918011459
0.675,0.002,1.286693179625456,1.0355405828092,116.48,15.647545308839135,482.6745590230673,68.54557846770662
0.7,0.0,1.3654910848053359,1.0834476289111914,111.91,16.29120318985592,511.52579938441045,70.26603492233852
0.7,0.0005,1.3475879316183288,0.9920307695594504,112.79,16.17344916401825,509.21311681844605,69.95095794116843
0.7,0.001,1.3465926192478983,1.0759530885634165,112.94,16.191371825801667,521.8180739279848,70.31076314126915
0.7,0.0015,1.323529222946763,1.0711738783342175,115.54,15.83321764016458,501.1653743136569,69.22891536045259
0.7,0.002,1.305825239557672,1.055719145487904,115.61,15.741800018777292,493.12272329273355,68.89485992248379
