t,epsilon
-1,inf
0,5.527472058537084
1,4.416636774924563
2,3.4713352703771245
3,2.64592146259048
4,2.1115867901442833
5,1.7830614914021783
6,1.5878313009421667
7,1.4680449776233533
8,1.3800373205236702
