timestep,S0,S1,S2,NND_med
105,29.0,-0.5966891148537137,-0.9222503828118249,4.4326785635697945
106,30.0,-0.6498837036006231,1.17775909850414,5.388573253067612
107,30.5,-0.7348771917534815,-4.802893030205325,4.387196400693355
108,26.0,-0.6501384228925549,1.9449132592592662,4.734677348587617
109,23.0,-0.6046945490737681,0.441341152539934,4.85534531426341
110,23.5,-0.6149166527179482,7.124971259276009,3.92583237918096
111,22.5,-0.6935841743113578,-2.201252760784314,5.044372005681467
112,22.0,-0.7709946509687384,-6.5091710271995,4.8782564954362755
113,17.5,-0.4954937625814839,7.839775977603836,4.543285291227804
114,16.0,-0.5251895778590772,2.031125497569974,5.020846690175105
115,15.0,-0.48349661492389906,4.182402286568987,5.6039898588431
116,15.5,-0.5502996663038271,4.831681124980378,5.002791690586989
117,15.5,-0.3927558058800873,12.888109593173823,4.3481968707262695
118,10.0,-0.20745215234992465,18.84507714851179,5.221846481154849
119,8.0,0.0669000217078004,32.784775203890916,5.727956097831438
120,9.5,-0.16617546756855717,33.755813031006284,7.060099852061576
121,7.5,-0.11627013963479982,37.082401860385716,6.778500628874063
122,5.5,-0.10828090670329793,30.39404940105166,6.659542484467359
123,5.5,0.03451206207161128,30.905911801796435,7.837483202102085
124,5.5,0.01831715627306707,33.90681108286219,7.782262173742339
125,5.5,-0.12595896362883074,14.192506880960622,6.631506081490166
126,7.5,-0.4184734057302091,-8.887432414188567,6.242105847237504
127,5.0,-0.16820605530570276,13.010772828961734,6.448653363065539
128,4.0,-0.14625959412617107,-8.803915259747185,6.5885487489559935
129,3.0,-0.11366533186985706,-3.9124637727614413,7.8761579092278
130,2.0,-0.045306903591161074,7.014833990476177,7.55467277091212
131,3.5,-0.026455029861619295,6.9453634534776825,7.664639622597356
132,2.5,-0.2423570980924854,-4.820031661427265,7.293159453138699
133,3.5,-0.3501868540898343,-11.946952988888881,7.948240011319655
134,0.0,-0.19558056645933064,-8.845680649180338,8.328618397655013
135,4.0,-0.5350207760946759,-22.521266913752925,9.338050506106356
136,3.0,-0.41651719068128124,-9.91789598066299,8.755063661067638
137,4.0,-0.7015337423312875,-22.350367993939358,8.491515942811624
138,1.0,-0.3141143136108777,-15.976350152941222,7.446278800069933
139,0.5,-0.23363699352941225,-12.480978681262343,8.48708708488418
140,3.5,-0.5314788617660096,-30.344067946878397,8.48937823118672
141,0.5,-0.27764474311879006,-16.099342595238056,8.256170457981739
142,-1.5,-0.11602766716981172,-17.806633036134485,8.529831448804131
143,-1.0,-0.2323443819140092,-25.542985492351136,8.729145551105425
144,-2.0,-0.17129635888335137,-35.35722449430449,9.280449706105422
