timestep,disc_med,disc_q05,disc_q95
22,69.75248081971202,48.719949377008945,146.23421542842868
23,72.61251200918193,50.58716173053841,150.3318725922395
24,70.47599700607628,48.0617005250631,149.04617682964627
25,60.57189018116901,38.8251794938086,142.82911974824404
26,69.73210195959547,38.76667120258448,148.87852410339892
27,67.0891880203469,40.468566442334726,143.2741267717408
28,62.48044907704991,30.342465962286283,135.42892879644722
29,60.69028907724077,28.770021084202718,135.07998849366336
30,64.41180895265097,33.342776786845285,142.5702380644132
31,61.70924366813539,26.03896975295548,141.12233894847722
32,69.04868749590415,35.053720906545024,146.39508494443885
33,68.22205250441748,31.483461838264244,142.43074465777184
34,67.63461727967552,31.66538772539544,142.31148154289627
35,71.38875881740528,34.623795116794426,149.24658338353458
36,69.28224889430577,29.261400273410818,147.7265689486934
37,73.6613905690885,29.408978954199284,154.19270519183823
38,74.15463737556517,31.122954829065144,156.39387267149945
39,76.98075074218313,29.614609528310314,162.74178436869047
40,74.29366512908962,26.090504236624348,159.31791596328623
41,73.82521458139865,22.20149114225727,161.41851588254625
42,76.91262011324548,24.61167881936832,164.28800817196526
43,86.03236596785047,28.905987615440473,173.7791877663855
44,85.0099905832401,27.907709309249007,173.28832904279187
45,87.36704719917887,28.875919626475284,173.3258996063066
46,86.78939036879473,27.978924457132553,169.9242459605158
47,94.21966916883065,36.282162825663136,177.276967464385
48,94.57438471320208,32.818280001233944,178.30831580830423
49,98.13690188760411,38.212312336469466,185.06843826239975
50,94.97509697626779,36.60806087987159,180.50159650583868
51,97.76738258822019,42.683162587087295,185.92404684295576
52,102.48663269527623,47.170471345132285,185.9037220877394
53,107.41600087611222,51.807595792152306,193.15386893622556
54,116.39057453134114,62.4613489335588,200.7579372540411
55,117.90472925318414,59.29598271872769,204.6250005806271
56,128.60816820150225,68.92842857948318,215.17135579254165
57,143.31080324005586,84.50299505697679,226.47925564876735
58,157.10309560188375,98.58186080568233,237.30273420973026
59,156.31895455267198,95.87136006131284,237.88895467041826
60,157.08756453208224,96.87984729959754,238.09636302753248
61,150.46786953037508,77.69758940029148,232.5652142970202
62,157.5935986739735,77.30476785832731,236.20034647132238
63,163.9005462036435,82.98307509070162,243.16805179730343
64,180.75690330417873,97.59963266184259,256.79762080978253
65,224.52420755368723,138.7305594481194,295.883978422459
66,249.842877769379,167.84959455496931,320.5124617573023
67,236.95014263998362,148.94951432342418,312.12533728970976
68,270.8023479198019,187.5109573129995,346.8648250008212
69,314.44118442191007,221.6280062935416,391.85006560341196
70,382.47017552705586,287.59938736615186,457.10494044243626
71,396.70421448438765,296.14046423448735,475.17189088395276
72,400.41728930417435,298.26055691801434,480.29749439396943
73,394.0914878756356,290.0903283873064,476.0750494920425
74,390.7845929795202,278.57643252126104,475.7141199276904
