t,PC,explained_variance_ratio
0,1,0.18695263447694138
0,2,0.15204893858398374
0,3,0.1380192252369016
0,4,0.13344419984555783
0,5,0.126279614996166
1,1,0.21842210566046744
1,2,0.1703139946043616
1,3,0.14832712021840977
1,4,0.13197164751146218
1,5,0.11745022258312789
2,1,0.21191672082272495
2,2,0.18038793349140436
2,3,0.1600579978559086
2,4,0.1275395327341404
2,5,0.11632070366951144
3,1,0.25395923856263003
3,2,0.19991579089190056
3,3,0.1649362257540867
3,4,0.13046049569571666
3,5,0.10632347034401232
4,1,0.2413349204490379
4,2,0.20899832999374218
4,3,0.16386244373889336
4,4,0.14341349497806252
4,5,0.09204365779157199
5,1,0.25157978622869276
5,2,0.20769013166133463
5,3,0.16916316527476685
5,4,0.12894756849885516
5,5,0.10246224933474003
6,1,0.2596655404566632
6,2,0.20744052012379574
6,3,0.1814728544461197
6,4,0.12773925896893454
6,5,0.11745814326799406
7,1,0.2626802964457971
7,2,0.22742610114254316
7,3,0.15892760334332265
7,4,0.13982998805372512
7,5,0.1049415228876812
