model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-877.7538955281316,1767.5077910562632,0.0,0.7310584250577877
Cell_num_prolif_cst_shed,7,-877.7538947470387,1769.5077894940773,1.9999984378141562,0.2689415749422122
