replicate,timestep,S0,S1,S2,NND_med
0,22,323.0,3.21671826625387,16.424148606811144,40.61126218580824
0,23,312.0,3.371794871794872,18.275641025641026,40.91331326808694
0,24,308.0,3.425324675324675,19.094155844155843,40.63282342964715
0,25,299.0,3.5418060200668897,20.678929765886288,41.81928041569675
0,26,292.0,3.6472602739726026,21.976027397260275,41.4881727405173
0,27,280.0,3.825,24.889285714285716,41.73704148932444
0,28,274.0,3.937956204379562,26.434306569343065,43.052338053289915
0,29,270.0,4.018518518518518,27.418518518518518,44.31525041056429
0,30,264.0,4.128787878787879,29.136363636363637,44.83490563406201
0,31,255.0,4.313725490196078,31.694117647058825,44.069233537021645
0,32,249.0,4.429718875502008,33.096385542168676,45.13970445027553
0,33,248.0,4.459677419354839,33.91129032258065,44.376553620742854
0,34,241.0,4.630705394190872,36.4149377593361,44.29173177482369
0,35,232.0,4.831896551724138,39.366379310344826,43.1026353328275
0,36,227.0,4.964757709251101,42.198237885462554,43.81351564646378
0,37,220.0,5.1454545454545455,45.49090909090909,44.95423985311219
0,38,212.0,5.35377358490566,50.2688679245283,46.64227608707767
0,39,207.0,5.502415458937198,53.193236714975846,50.34318585495556
0,40,205.0,5.570731707317073,54.604878048780485,50.5284555178266
0,41,199.0,5.773869346733668,57.68341708542714,50.79213207932542
0,42,190.0,6.073684210526316,65.46315789473684,54.45371260578544
0,43,186.0,6.220430107526882,67.85483870967742,52.50660798067303
0,44,180.0,6.444444444444445,72.77777777777777,52.945479357925834
0,45,178.0,6.544943820224719,76.8932584269663,51.4659471046743
0,46,178.0,6.573033707865169,78.28089887640449,49.56308246799922
0,47,170.0,6.911764705882353,84.44117647058823,52.57456909232758
0,48,163.0,7.245398773006135,93.1840490797546,52.488349244351454
0,49,163.0,7.257668711656442,93.38036809815951,54.029541797864766
0,50,164.0,7.262195121951219,95.65243902439025,54.29440529129724
0,51,162.0,7.401234567901234,98.87037037037037,55.41457699041077
0,52,155.0,7.780645161290322,110.60645161290323,57.17220250788809
0,53,152.0,7.9868421052631575,118.11842105263158,57.21103175789104
