stage,merge_prob,adhesion,fragment_rate,heading_sigma,init_n_clusters,dist_s,dist_scale,nnd_rmse,s0_rmse,s0_rrmse,s1_rrmse,s2_rrmse,penalty,score
6,0.7881270273108215,0.6729144616799027,0.0005322547939543631,0.4494311664922973,977,0.6676645081263712,3.635516762957427,11.946729000898843,13.704928445326331,0.13917578823753482,0.12281957958502081,0.2880030452268188,0.8800304522681879,26.53168789849336
6,0.817915256486972,0.7837057988948013,0.001388850238111957,0.513069556709331,1003,0.8303004171486489,3.4763426177835623,8.501573236476098,17.909486682296883,0.1773462472695903,0.1704455547845864,0.346691414418637,1.4669141441863698,27.87797406295935
6,0.764656990177302,0.852294831014042,0.00028163661721646797,0.3635954997345635,1003,0.8266071605507626,3.4722171343832144,11.642880735062237,17.413002481822517,0.177568588308625,0.16811571973644562,0.46459787314546597,2.6459787314546594,31.70186194833941
6,0.7582142380297504,0.74060548542793,0.0011475792237934624,0.662952597396303,929,0.7241853106685131,3.339593197535827,15.59760170856964,19.264536443358388,0.13336030442742208,0.1826740531241559,0.37949790130800065,1.7949790130800065,36.65711716500804
6,0.7510757704142957,0.6859367089610329,0.0004662350997677002,0.4389928086856609,952,0.6697915329198467,3.6323352794135433,12.7724638169939,13.342822643034296,0.12158216955451029,0.13206238621731187,0.319292865391998,1.1929286539199802,27.308215113948176
6,0.7100262864287392,0.7945013125457285,0.00035918418295685894,0.6402355738699953,968,0.7433086408856154,3.4551066382120648,13.719932198090113,15.04913836006675,0.1134544323255893,0.14298071606521157,0.2949539458519116,0.9495394585191158,29.718610016675978
6,0.7129019014936766,0.6847165979583767,0.0002842564093834276,0.6692363365047925,930,0.7122542700096981,3.3564089322609574,17.173123641592152,21.807696398940795,0.13447056715487404,0.19206888395739555,0.3750982669862234,1.7509826698622337,40.73180271039518
6,0.7314054185143035,0.6665225381026069,0.00022242814685976897,0.6319918319206476,1004,0.6435775804436044,3.4093756820675423,16.876248433751403,20.68764668938039,0.12388917344695964,0.15249720125724628,0.33531972751339967,1.3531972751339967,38.91709239826579
6,0.6900232038035413,0.685815927103498,0.0006490945951184613,0.6175854522002695,1007,0.7216735599201544,3.2628020999812324,17.895691584674918,23.030266244954532,0.1329357791004936,0.1605424406801565,0.3015282478857435,1.015282478857435,41.94124030848689
6,0.7240387436314193,0.8797728384639086,0.0002106317562595821,0.5363057839177882,991,0.8167119464916263,3.633788625110425,6.849569613520035,22.13618079635257,0.20855356160087307,0.18865683052551369,0.4297667730656193,2.3832033466649234,31.36895375653753
6,0.7613207615623866,0.7468706097524664,0.0010176372347029576,0.5126764093286383,955,0.7684595212915798,3.2570817390548834,12.622175244769773,14.633441426325142,0.10794357700791024,0.15271301848106944,0.32397243598836256,1.2397243598836254,28.495341030978537
6,0.779639718727171,0.7575304439760479,0.0003249152975583162,0.5420419610829621,1007,0.6702803391813762,3.6391330460794715,12.958092852332483,12.29489997801162,0.11049017128662383,0.11664906445619283,0.27294706330234114,0.7294706330234113,25.982463463367512
