label,dist,params,loglike,k,AIC,BIC,KS,KSp
s073,weibull_min,"(1.5218953418282024, 0.0, 4.447280415330788)",-1829.8240847038116,2,3663.6481694076233,3673.034816744163,0.030662381619829482,0.4254619301928768
s073,gengamma,"(1.330507827176361, 1.2835052415003299, 0.0, 3.3997923503333674)",-1828.9233241906768,3,3663.8466483813536,3677.9266193861636,0.028342078018851025,0.5264710612713563
s073,gamma,"(2.016266230875956, 0.0, 1.9841802315357246)",-1830.409526996777,2,3664.819053993554,3674.2057013300937,0.03342468215244487,0.3209592732276809
s073,lognorm,"(0.8049365679053089, 0.0, 3.0600391751793374)",-1872.542180449342,2,3749.084360898684,3758.4710082352235,0.06168587115714197,0.004115330114584596
s073,rayleigh,"(0.0, 3.4163503646620317)",-1887.3453893946803,1,3776.6907787893606,3781.3841024576304,0.13233934843462652,8.738527023246742e-13
s073,invgauss,"(0.9387308089555719, 0.0, 4.261749543799684)",-1913.9943632258562,2,3831.9887264517124,3841.375373788252,0.1162179222255324,5.939826936342364e-10
s073,expon,"(0.0, 4.0006355968171174)",-1925.8677708947303,1,3853.7355417894605,3858.4288654577304,0.14563265114515989,2.1158104536035828e-15
