label,dist,params,loglike,k,AIC,BIC,KS,KSp,DeltaAIC,Weight,group
s037,invgauss,"(1.0604692026843907, 0.0, 1.261834612128281)",-2582.8138290194483,2,5169.627658038897,5181.0827282598475,0.0525790664533695,6.79366109358231e-06,0.0,0.9999964224623488,s037
s037,lognorm,"(0.8472924779244733, 0.0, 0.8959226883203653)",-2595.354661242989,2,5194.709322485978,5206.164392706929,0.05029238454872431,1.9818900801917764e-05,25.081664447081494,3.577537651350059e-06,s037
s037,gengamma,"(14.002570951566277, 0.30959094938546494, 0.0, 0.00019896722441813575)",-2648.767110717623,3,5303.534221435246,5320.716826766672,0.0656333353583533,6.0414161301531665e-09,133.90656339634916,8.366766704428437e-30,s037
s037,gamma,"(1.389406148516863, 0.0, 0.9630997721376535)",-2862.60209118264,2,5729.20418236528,5740.659252586231,0.11397436762965463,3.831048922023289e-26,559.5765243263832,3.0867402677155526e-122,s037
s037,weibull_min,"(1.083732553451753, 0.0, 1.388836095912148)",-2916.4485997365628,2,5836.8971994731255,5848.352269694076,0.1152371708316385,1.0207781244200496e-26,667.2695414342288,1.271330753759997e-145,s037
s037,expon,"(0.0, 1.3381367450432455)",-2931.2014176669227,1,5864.402835333845,5870.130370444321,0.13882845570246716,1.2552021645469804e-38,694.7751772949487,1.3535852556034075e-151,s037
s037,rayleigh,"(0.0, 1.4934511963137347)",-4340.42277263932,1,8682.84554527864,8688.573080389117,0.4022956154532322,0.0,3513.2178872397435,0.0,s037
s073,weibull_min,"(1.5218953418282024, 0.0, 4.447280415330788)",-1829.8240847038116,2,3663.6481694076233,3673.034816744163,0.030662381619829482,0.4254619301928768,0.0,0.4061102812290702,s073
s073,gengamma,"(1.330507827176361, 1.2835052415003299, 0.0, 3.3997923503333674)",-1828.9233241906768,3,3663.8466483813536,3677.9266193861636,0.028342078018851025,0.5264710612713563,0.198478973730289,0.36774334562899025,s073
s073,gamma,"(2.016266230875956, 0.0, 1.9841802315357246)",-1830.409526996777,2,3664.819053993554,3674.2057013300937,0.03342468215244487,0.3209592732276809,1.1708845859307075,0.22614637314193947,s073
s073,lognorm,"(0.8049365679053089, 0.0, 3.0600391751793374)",-1872.542180449342,2,3749.084360898684,3758.4710082352235,0.06168587115714197,0.004115330114584596,85.43619149106053,1.1387036813096675e-19,s073
s073,rayleigh,"(0.0, 3.4163503646620317)",-1887.3453893946803,1,3776.6907787893606,3781.3841024576304,0.13233934843462652,8.738527023246742e-13,113.0426093817373,1.1527980871116283e-25,s073
s073,invgauss,"(0.9387308089555719, 0.0, 4.261749543799684)",-1913.9943632258562,2,3831.9887264517124,3841.375373788252,0.1162179222255324,5.939826936342364e-10,168.3405570440891,1.1322868979783288e-37,s073
s073,expon,"(0.0, 4.0006355968171174)",-1925.8677708947303,1,3853.7355417894605,3858.4288654577304,0.14563265114515989,2.1158104536035828e-15,190.0873723818372,2.146325235923246e-42,s073
