label,dist,params,loglike,k,AIC,BIC,KS,KSp,error
s037,invgauss,"(1.0604692026843907, 0.0, 1.261834612128281)",-2582.8138290194483,2.0,5169.627658038897,5181.0827282598475,0.0525790664533695,6.79366109358231e-06,
s037,lognorm,"(0.8472924779244733, 0.0, 0.8959226883203653)",-2595.354661242989,2.0,5194.709322485978,5206.164392706929,0.05029238454872431,1.9818900801917764e-05,
s037,gengamma,"(14.002570951566277, 0.30959094938546494, 0.0, 0.00019896722441813575)",-2648.767110717623,3.0,5303.534221435246,5320.716826766672,0.0656333353583533,6.0414161301531665e-09,
s037,gamma,"(1.389406148516863, 0.0, 0.9630997721376535)",-2862.60209118264,2.0,5729.20418236528,5740.659252586231,0.11397436762965463,3.831048922023289e-26,
s037,weibull_min,"(1.083732553451753, 0.0, 1.388836095912148)",-2916.4485997365628,2.0,5836.8971994731255,5848.352269694076,0.1152371708316385,1.0207781244200496e-26,
s037,expon,"(0.0, 1.3381367450432455)",-2931.2014176669227,1.0,5864.402835333845,5870.130370444321,0.13882845570246716,1.2552021645469804e-38,
s037,rayleigh,"(0.0, 1.4934511963137347)",-4340.42277263932,1.0,8682.84554527864,8688.573080389117,0.4022956154532322,0.0,
s037,maxwell,"(0.0, 1.219387337413461)",-5767.309647878583,1.0,11536.619295757166,11542.346830867642,0.48548778696263695,0.0,
s037,boltzmann,(),,,inf,inf,,,'boltzmann_gen' object has no attribute 'fit'
