time_min,total_area_um2,volume_counts_um3,volume_from_area_um3
0.000000000000000000e+00,7.465298481892082236e+02,7.000000000000000000e+02,7.000000000000000000e+02
1.000000000000000000e+00,7.133226114284805135e+02,7.000000000000000000e+02,7.000000000000000000e+02
2.000000000000000000e+00,6.913552823918305421e+02,7.030000000000000000e+02,7.030000000000000000e+02
3.000000000000000000e+00,6.766931980303348837e+02,7.080000000000000000e+02,7.080000000000000000e+02
4.000000000000000000e+00,6.611105978848290761e+02,7.110000000000000000e+02,7.110000000000000000e+02
5.000000000000000000e+00,6.438210253524533755e+02,7.120000000000000000e+02,7.120000000000000000e+02
6.000000000000000000e+00,6.291449707062877224e+02,7.140000000000000000e+02,7.140000000000000000e+02
7.000000000000000000e+00,6.129789598811150881e+02,7.170000000000000000e+02,7.170000000000000000e+02
8.000000000000000000e+00,6.009065162895524281e+02,7.220000000000000000e+02,7.219999999999997726e+02
9.000000000000000000e+00,5.907233283922935243e+02,7.250000000000000000e+02,7.250000000000000000e+02
1.000000000000000000e+01,5.823129981644954114e+02,7.250000000000000000e+02,7.250000000000000000e+02
1.100000000000000000e+01,5.703747613722390497e+02,7.250000000000000000e+02,7.249999999999997726e+02
1.200000000000000000e+01,5.670069961951020332e+02,7.300000000000000000e+02,7.300000000000000000e+02
1.300000000000000000e+01,5.616419574333506262e+02,7.320000000000000000e+02,7.319999999999998863e+02
1.400000000000000000e+01,5.600421338617306901e+02,7.350000000000000000e+02,7.350000000000000000e+02
1.500000000000000000e+01,5.517406970980727010e+02,7.360000000000000000e+02,7.359999999999998863e+02
1.600000000000000000e+01,5.458634939436971081e+02,7.400000000000000000e+02,7.399999999999997726e+02
1.700000000000000000e+01,5.393733065452724986e+02,7.420000000000000000e+02,7.419999999999998863e+02
1.800000000000000000e+01,5.324761051159842964e+02,7.470000000000000000e+02,7.469999999999998863e+02
1.900000000000000000e+01,5.270721585813009824e+02,7.500000000000000000e+02,7.499999999999997726e+02
2.000000000000000000e+01,5.207349584056933054e+02,7.530000000000000000e+02,7.529999999999997726e+02
2.100000000000000000e+01,5.150419657576998134e+02,7.560000000000000000e+02,7.559999999999997726e+02
2.200000000000000000e+01,5.105023454316190055e+02,7.610000000000000000e+02,7.609999999999997726e+02
2.300000000000000000e+01,4.997563865266773746e+02,7.620000000000000000e+02,7.619999999999997726e+02
2.400000000000000000e+01,4.918424600566428921e+02,7.620000000000000000e+02,7.619999999999997726e+02
2.500000000000000000e+01,4.870183571304495445e+02,7.660000000000000000e+02,7.659999999999998863e+02
2.600000000000000000e+01,4.871430696176204833e+02,7.710000000000000000e+02,7.709999999999998863e+02
2.700000000000000000e+01,4.794474670493052031e+02,7.750000000000000000e+02,7.749999999999998863e+02
2.800000000000000000e+01,4.806892964793304373e+02,7.770000000000000000e+02,7.769999999999998863e+02
2.900000000000000000e+01,4.747546387044278049e+02,7.850000000000000000e+02,7.849999999999997726e+02
3.000000000000000000e+01,4.738589629506440133e+02,7.900000000000000000e+02,7.899999999999998863e+02
3.100000000000000000e+01,4.704137071556384626e+02,7.930000000000000000e+02,7.929999999999997726e+02
3.200000000000000000e+01,4.660429197367673169e+02,7.940000000000000000e+02,7.939999999999998863e+02
3.300000000000000000e+01,4.600230146609241046e+02,7.970000000000000000e+02,7.969999999999997726e+02
3.400000000000000000e+01,4.554972026202263464e+02,8.010000000000000000e+02,8.009999999999997726e+02
3.500000000000000000e+01,4.551329155594547160e+02,8.050000000000000000e+02,8.049999999999997726e+02
3.600000000000000000e+01,4.526459149546292338e+02,8.120000000000000000e+02,8.119999999999997726e+02
3.700000000000000000e+01,4.501739355336135304e+02,8.140000000000000000e+02,8.139999999999997726e+02
3.800000000000000000e+01,4.477006929450586767e+02,8.180000000000000000e+02,8.179999999999997726e+02
3.900000000000000000e+01,4.465354342244881423e+02,8.220000000000000000e+02,8.219999999999997726e+02
4.000000000000000000e+01,4.446288786780934856e+02,8.250000000000000000e+02,8.249999999999997726e+02
4.100000000000000000e+01,4.381709820965081690e+02,8.300000000000000000e+02,8.299999999999998863e+02
4.200000000000000000e+01,4.384841045427565973e+02,8.340000000000000000e+02,8.339999999999997726e+02
4.300000000000000000e+01,4.336844252077114561e+02,8.370000000000000000e+02,8.369999999999997726e+02
4.400000000000000000e+01,4.338148840891775535e+02,8.400000000000000000e+02,8.399999999999997726e+02
4.500000000000000000e+01,4.338149205186583117e+02,8.420000000000000000e+02,8.419999999999997726e+02
4.600000000000000000e+01,4.303930276134948940e+02,8.440000000000000000e+02,8.439999999999997726e+02
4.700000000000000000e+01,4.309676181571310849e+02,8.460000000000000000e+02,8.459999999999997726e+02
4.800000000000000000e+01,4.320118488399584749e+02,8.500000000000000000e+02,8.499999999999997726e+02
4.900000000000000000e+01,4.333904154640609363e+02,8.540000000000000000e+02,8.539999999999997726e+02
5.000000000000000000e+01,4.331560343020784103e+02,8.560000000000000000e+02,8.559999999999997726e+02
5.100000000000000000e+01,4.301871189317241146e+02,8.570000000000000000e+02,8.569999999999997726e+02
5.200000000000000000e+01,4.265100992210377058e+02,8.590000000000000000e+02,8.589999999999997726e+02
5.300000000000000000e+01,4.252038852183982840e+02,8.620000000000000000e+02,8.619999999999997726e+02
5.400000000000000000e+01,4.255491801412528048e+02,8.660000000000000000e+02,8.659999999999997726e+02
5.500000000000000000e+01,4.227055943202093431e+02,8.710000000000000000e+02,8.709999999999997726e+02
5.600000000000000000e+01,4.198349625172941160e+02,8.720000000000000000e+02,8.719999999999997726e+02
5.700000000000000000e+01,4.082006583856978068e+02,8.730000000000000000e+02,8.729999999999997726e+02
5.800000000000000000e+01,4.074177005478532010e+02,8.760000000000000000e+02,8.759999999999997726e+02
5.900000000000000000e+01,4.074177005478532010e+02,8.760000000000000000e+02,8.759999999999997726e+02
6.000000000000000000e+01,4.085431645442366744e+02,8.790000000000000000e+02,8.789999999999996589e+02
6.100000000000000000e+01,4.074381990947397298e+02,8.800000000000000000e+02,8.799999999999997726e+02
6.200000000000000000e+01,4.006821727451762172e+02,8.840000000000000000e+02,8.839999999999997726e+02
6.300000000000000000e+01,4.005332236609115739e+02,8.870000000000000000e+02,8.869999999999997726e+02
6.400000000000000000e+01,3.974669487539235888e+02,8.900000000000000000e+02,8.899999999999997726e+02
6.500000000000000000e+01,3.980145281676467448e+02,8.920000000000000000e+02,8.919999999999997726e+02
6.600000000000000000e+01,3.939730735020562520e+02,8.960000000000000000e+02,8.959999999999997726e+02
6.700000000000000000e+01,3.870229727951813175e+02,9.000000000000000000e+02,8.999999999999997726e+02
6.800000000000000000e+01,3.859236034412220420e+02,9.050000000000000000e+02,9.049999999999997726e+02
6.900000000000000000e+01,3.874082397631159438e+02,9.100000000000000000e+02,9.099999999999997726e+02
