t,PC,explained_variance_ratio
0,1,0.23605967008671683
0,2,0.1914281238650382
0,3,0.184013604423474
0,4,0.17563369914763224
0,5,0.1233094886915809
1,1,0.24113461958106439
1,2,0.1940450130313269
1,3,0.18095815959856984
1,4,0.16700630468893615
1,5,0.134955987254721
2,1,0.2715475661806118
2,2,0.19396586742323949
2,3,0.16270486208893165
2,4,0.14932180712558027
2,5,0.14443955738017897
3,1,0.3357004283376789
3,2,0.18812149693035524
3,3,0.1672852671625935
3,4,0.14157168251155644
3,5,0.0960554317235403
4,1,0.3849492899281452
4,2,0.18129327890232996
4,3,0.1614126593227404
4,4,0.13908022140576948
4,5,0.07670730019021298
5,1,0.36109564559703816
5,2,0.20443263898130928
5,3,0.1620446125047463
5,4,0.1477873821755898
5,5,0.07939991289091448
6,1,0.318789888195243
6,2,0.25600500781823227
6,3,0.1598265033186008
6,4,0.12255172791633293
6,5,0.1001779486644352
7,1,0.29846315738389956
7,2,0.23195524894248568
7,3,0.17257528650282308
7,4,0.1496146013341557
7,5,0.10173214581842092
