timestep,disc_med,disc_q05,disc_q95
22,84.70202171840026,52.2269011934909,140.6034210787788
23,86.00421061020177,52.268476763164195,137.9706985768787
24,83.09988377203865,51.704718394933,134.79251095768615
25,77.55356737039837,41.57867445332868,125.32325324681845
26,87.9001181628191,43.12880933959932,131.38827491357443
27,85.4116008778078,45.79811775679113,126.22531359172052
28,82.98550731164445,36.08755653001711,127.05793132517098
29,83.7269157673932,34.49732087246338,124.6595755457157
30,87.93102863819801,41.26078650679411,129.90296315783036
31,88.09514684675926,33.144166194513886,128.82346121408534
32,91.57890619521758,44.99739908087273,129.79772775192853
33,90.85303280085573,42.38803504357726,128.6362895515452
34,89.90273605739404,42.76426747224872,128.5324693665571
35,94.66386415784473,47.73345132929563,129.53227935630827
36,92.40824807853826,45.20394519576523,126.32685376739416
37,95.99875212005382,48.116872742649875,129.15617621388398
38,96.2079107072095,51.73393935823987,128.06382661364705
39,101.10805599473998,54.48493438797689,130.86860748778403
40,98.7580770112076,52.09023509691836,130.37256864608423
41,100.66752988364259,49.48114433484875,131.6601214635705
42,101.1609739973663,51.756065700128225,132.19294296734327
43,108.47258050256676,60.71813326806601,139.33949111712565
44,107.93215829230945,60.478686897668574,136.97184481344652
45,107.6147043615889,62.11265938319897,137.85820780430544
46,106.87768794239983,61.953969061784804,134.75763178089534
47,115.63537370885811,69.10158847792079,141.86455004290792
48,115.82823095114179,73.528987034876,141.9711751183141
49,118.5794467654634,79.0978846998575,145.32158516210268
50,115.79066216794278,75.91598504829733,140.6374816478255
51,118.27260736372736,80.27659056161707,143.6139189893314
52,117.5834037441137,85.44244069099798,139.65381142421924
53,121.04472798096526,90.34546676887865,144.61247565732535
54,128.27816976802734,100.99739455008076,149.69267773302215
55,127.8738837311306,99.70384912621526,150.83976589094095
56,131.87778973825448,108.54794588976965,151.05878313049783
57,139.0537672168952,115.67240202611784,152.39272560454438
58,146.01197507329823,123.38034037231428,163.42944799167122
59,142.86379741076104,119.04732337151417,162.508740880891
60,143.04638331507863,117.0252543505724,164.56628849866766
61,140.3728502662608,116.82084932877648,160.25467185525474
62,141.82379367851422,118.23472258326657,167.91591537275605
63,142.26894163829536,115.7458987682616,175.49531936275824
64,141.61836187443544,119.53569532013817,188.423156750815
65,160.548243622968,132.32334846846,218.1085251450945
66,171.4311707055363,135.90495236534616,245.89487661322676
67,160.80164593243964,130.28017399170565,237.33403555518407
68,177.33383898509447,133.38307096767332,267.91242449901887
69,203.76123542276986,138.0437957041948,304.46788207211694
70,249.5039260898483,139.8681415874386,372.2944479919961
71,253.53145151825197,138.08933521139406,385.64803215759014
72,248.3959393966585,139.2077401610677,385.9688432047456
73,230.2705685859999,137.4674202476587,375.3462548469815
74,221.69787206067463,136.3805869375925,371.74053194438153
