tag,rmse_weighted
invasive_v10_adh1,67.67742665324744
invasive_v10_adh0.7,71.0117177570026
invasive_v10_adh0.9,72.75119320496768
invasive_v10_adh0.5,75.57583720726919
invasive_v7_adh1,99.48891300213991
invasive_v7_adh0.7,99.915607357614
invasive_v7_adh0.9,101.45053283450329
invasive_v7_adh0.5,105.16251011443032
invasive_v5_adh1,127.0519998056564
invasive_v5_adh0.9,129.77319051710134
invasive_v5_adh0.7,130.00681910372015
invasive_v5_adh0.5,137.60241616924142
invasive_v3_adh0.9,181.92596724429342
invasive_v3_adh1,182.53984854320007
invasive_v3_adh0.7,185.41335225346342
invasive_v3_adh0.5,191.72012529235155
invasive_v2_adh1,221.67562276249393
invasive_v2_adh0.9,227.36940783276722
invasive_v2_adh0.7,227.54219571733125
invasive_v2_adh0.5,232.57573471022155
