replicate,timestep,S0,S1,S2,NND_med
0,22,304.0,3.5526315789473686,21.414473684210527,40.497145022926375
0,23,298.0,3.634228187919463,22.338926174496645,41.07569869824604
0,24,292.0,3.7260273972602738,23.445205479452056,40.7991368875259
0,25,282.0,3.882978723404255,25.21631205673759,40.50637425684894
0,26,273.0,4.0366300366300365,28.937728937728938,42.22950797603379
0,27,266.0,4.172932330827067,31.338345864661655,41.6185413670848
0,28,254.0,4.3858267716535435,34.28346456692913,43.54256576672093
0,29,244.0,4.577868852459017,36.74180327868852,45.00429428360763
0,30,234.0,4.803418803418803,41.47008547008547,46.02006601141163
0,31,227.0,4.973568281938326,43.969162995594715,47.39869064739095
0,32,223.0,5.103139013452915,45.937219730941706,46.61376011560005
0,33,219.0,5.232876712328767,47.981735159817354,47.68926303955536
0,34,215.0,5.358139534883721,52.06511627906977,48.64444673446385
0,35,208.0,5.576923076923077,55.29807692307692,50.61190021790168
0,36,205.0,5.658536585365853,56.50731707317073,49.42046417115516
0,37,203.0,5.758620689655173,58.477832512315274,48.24575377235865
0,38,197.0,5.98984771573604,63.71573604060914,50.511084086102194
0,39,193.0,6.155440414507772,68.41450777202073,51.165839389198574
0,40,189.0,6.301587301587301,71.51851851851852,51.11538174988959
0,41,181.0,6.607734806629834,81.59116022099448,52.27559963445441
0,42,175.0,6.851428571428571,88.95428571428572,53.09528979664278
0,43,172.0,7.017441860465116,92.52906976744185,53.046181659430296
0,44,169.0,7.171597633136095,99.11242603550296,52.81137638123923
0,45,168.0,7.232142857142857,102.66071428571429,53.249416623144185
0,46,164.0,7.439024390243903,107.89024390243902,56.39359911980041
0,47,160.0,7.675,113.8125,57.614159114227235
0,48,159.0,7.7421383647798745,115.64150943396227,57.15478208491576
0,49,158.0,7.822784810126582,118.86075949367088,57.009767478580265
0,50,154.0,8.064935064935066,128.0909090909091,57.09530540308537
0,51,153.0,8.163398692810457,131.30065359477123,56.44388582778051
0,52,149.0,8.429530201342281,139.83892617449663,57.42165809414258
0,53,148.0,8.513513513513514,143.33783783783784,56.02937919879368
0,54,144.0,8.79861111111111,151.74305555555554,56.510855392939874
0,55,142.0,8.95774647887324,156.71830985915494,58.01179525016006
0,56,136.0,9.411764705882353,170.27941176470588,61.45163558779069
0,57,134.0,9.611940298507463,178.40298507462686,61.11148854811774
0,58,134.0,9.656716417910447,194.7462686567164,61.528271292406096
0,59,133.0,9.789473684210526,197.98496240601503,61.88163281905843
0,60,131.0,9.992366412213741,206.87786259541986,61.49512323515433
0,61,131.0,10.038167938931299,212.9236641221374,62.91991756279251
0,62,128.0,10.3125,220.875,62.003702502786
0,63,128.0,10.375,223.796875,63.02755418742932
0,64,128.0,10.421875,225.5,60.99107448027774
0,65,127.0,10.590551181102363,232.79527559055117,61.23977065384439
0,66,124.0,10.887096774193548,243.7258064516129,61.889155854241665
0,67,121.0,11.190082644628099,265.5206611570248,62.71074098075884
0,68,119.0,11.420168067226891,278.9159663865546,57.92031427087125
0,69,116.0,11.801724137931034,309.83620689655174,56.55740038128794
0,70,114.0,12.131578947368421,324.32456140350877,59.944234335951606
0,71,113.0,12.300884955752212,330.4424778761062,62.43711162878333
0,72,111.0,12.567567567567568,340.44144144144144,63.43393341105346
0,73,107.0,13.121495327102803,359.9065420560748,64.70540244538599
0,74,106.0,13.30188679245283,366.37735849056605,67.41734635519978
1,22,305.0,3.518032786885246,22.737704918032787,39.478590249992145
1,23,294.0,3.6700680272108843,24.6156462585034,42.14874805313928
1,24,288.0,3.7708333333333335,25.97222222222222,41.960654404595346
1,25,277.0,3.9386281588447654,29.404332129963898,42.179278421087815
1,26,265.0,4.132075471698113,32.886792452830186,42.26595292615187
1,27,258.0,4.263565891472868,35.30232558139535,42.00958604921546
1,28,253.0,4.359683794466403,36.4703557312253,42.52244541294509
1,29,244.0,4.536885245901639,39.25,44.27255357530561
1,30,238.0,4.663865546218488,41.04201680672269,44.79466545696921
1,31,230.0,4.852173913043479,43.904347826086955,46.855345500587916
1,32,227.0,4.929515418502203,46.02202643171806,45.84027615967754
1,33,217.0,5.202764976958525,50.16129032258065,48.98067449682408
1,34,212.0,5.363207547169812,53.193396226415096,48.543995332057506
1,35,208.0,5.4951923076923075,55.51442307692308,49.057551891292164
1,36,205.0,5.585365853658536,57.72195121951219,49.680584555404465
1,37,200.0,5.75,64.06,48.311132739550615
1,38,195.0,5.938461538461539,69.47692307692307,49.47769586053372
1,39,192.0,6.052083333333333,72.85416666666667,49.14972333571228
1,40,188.0,6.24468085106383,78.34042553191489,47.93291167271569
1,41,181.0,6.541436464088398,89.29281767955801,52.158763271557994
1,42,179.0,6.64245810055866,91.26815642458101,51.789630047219426
1,43,176.0,6.778409090909091,94.05113636363636,53.0262537681981
1,44,173.0,6.930635838150289,97.40462427745665,54.3160919527207
1,45,170.0,7.088235294117647,101.86470588235294,52.84328860844318
1,46,168.0,7.220238095238095,104.35119047619048,53.408348783899825
1,47,164.0,7.445121951219512,115.65243902439025,53.80407067823982
1,48,162.0,7.561728395061729,118.98148148148148,56.87640935577459
1,49,161.0,7.6521739130434785,121.41614906832298,55.11986695080486
1,50,161.0,7.6770186335403725,122.28571428571429,52.96160150752117
1,51,157.0,7.898089171974522,130.10191082802547,53.9253010632742
1,52,155.0,8.051612903225806,135.1741935483871,54.3521428198804
1,53,153.0,8.176470588235293,139.31372549019608,54.80611855470779
1,54,149.0,8.442953020134228,148.73825503355704,54.559401388959316
1,55,145.0,8.73103448275862,166.6206896551724,55.22493273318305
