stage,merge_prob,adhesion,fragment_rate,heading_sigma,init_n_clusters,dist_s,dist_scale,nnd_rmse,s0_rmse,s0_rrmse,s1_rrmse,s2_rrmse,penalty,score
6,0.7712665828353088,0.7402728661037637,0.0006548920935201817,0.5536004181738888,983,0.687946403958768,3.419785029589693,13.29505784035023,16.345061853425346,0.12313054145092013,0.13917102919428023,0.3021326082258012,1.0213260822580117,30.661445776033585
6,0.8278253021743402,0.8152158409510059,0.0007194521844347237,0.43144031376021325,965,0.7647876646597107,3.3962655834774336,12.195230023626218,11.461154183261733,0.13426390766685556,0.10396904854961268,0.2774871189183553,0.774871189183553,24.431255396071503
6,0.8622638482129652,0.7259736827087017,0.0006529575350926488,0.5450854350112225,980,0.645810450033576,3.5301452305913816,12.933287812656447,12.275140105020006,0.10758922420088754,0.13090686574430058,0.2805832640660748,0.805832640660748,26.0142605583372
6,0.8034570639582788,0.6865706703623276,0.0002933307064309962,0.4485969981937827,940,0.6621242749181843,3.5220267489479435,12.97118816100492,13.45394005737712,0.11881878359256322,0.13525856023070518,0.2955570274252184,0.9555702742521838,27.380698492634224
6,0.7453997754484657,0.8343319407196592,0.000548291096902063,0.360821653399423,978,0.6649448455424714,3.3970149399267053,16.169648918783363,14.066517311442219,0.11476010862079664,0.13467675861778666,0.27940032715209995,0.7940032715209994,31.03016950174658
6,0.8875481416984512,0.7571317910364215,0.0008845487509810583,0.4810741395749365,972,0.684066599896156,3.4192505399506614,13.229762665554235,13.790645442507497,0.12728577089100276,0.13300545271226347,0.29872604335406666,0.9872604335406665,28.007668541602396
6,0.8047073129424308,0.7878625469402467,0.000845455001402774,0.4773616278385923,960,0.7614429627409977,3.4395186989567423,12.059708232936288,12.321037428205527,0.13220943303901778,0.12216558553952034,0.25638591208608275,0.5638591208608273,24.944604782002642
6,0.7362167040046895,0.8617511908169605,0.0007420874680687772,0.477816238809535,939,0.7394470669182942,3.4781339034235104,13.420744449375114,15.944991112715906,0.155489601011792,0.127567892726473,0.29854329548778785,0.9854329548778784,30.351168516968897
6,0.8143070834689239,0.7827003583311191,0.00034963199386956026,0.3995234923324286,964,0.6767421784642338,3.517111238866707,13.041377185014206,14.181399230155384,0.14464600851024037,0.12239712617737611,0.2824733333372859,0.824733333372859,28.04750974854245
6,0.8522934637790709,0.6808797827168959,0.0002816403792290714,0.552062065909691,935,0.7438022401228693,3.479643577557273,13.419758149410395,13.237175305153931,0.12992105926411648,0.1316929907309934,0.30205298440273354,1.0205298440273354,27.67746329859166
6,0.8788811389520648,0.7678136557352544,0.0002447624963375667,0.43808835577417515,974,0.6608387412388242,3.432129054679482,14.795973232736884,16.044645120631344,0.12128282353558233,0.14307081802131758,0.2900145969398644,0.9001459693986441,31.74076432276687
6,0.7721607932197346,0.8448452877107516,0.00037170687879397706,0.328770270739822,981,0.7629887556580933,3.5016562834687495,8.985496350885269,24.150071485610805,0.22281835381082832,0.20925194913807765,0.5481496165943981,3.8021991954330403,36.93776703192911
6,0.741178792254648,0.7896876269373633,0.0011161940456013506,0.5110416331214455,980,0.6882450234494262,3.5425767105661845,12.137540960732498,14.348315967627773,0.129045089354737,0.13242001562060185,0.2820253353757017,0.8202533537570167,27.306110282117288
6,0.7389805593287504,0.773503502895125,0.0011547021239106043,0.5214678632779097,960,0.7076305548813108,3.4742137336181838,11.633685929650007,13.467836952431902,0.12298726465877062,0.12812527166244822,0.29012941544752496,0.9012941544752495,26.002817036557158
6,0.824436631297511,0.6923200967660351,0.0006198914533544278,0.48610405636092036,973,0.6656007796775866,3.455796914793981,14.53314728763273,13.797167142385069,0.11376900644255569,0.1363626927219054,0.28621580920611817,0.8621580920611815,29.192472522078983
6,0.8050185953909217,0.8102694694040978,0.00038986172224602603,0.5358680462750846,962,0.7074359816267195,3.3892092043808906,12.860907573177967,14.381431519148554,0.12341198466343783,0.13333418920040438,0.28337067336286287,0.8337067336286286,28.07604582595515
6,0.8620963773607269,0.7573426271357864,0.0002694799760796765,0.37077201415481936,971,0.7105106055868803,3.532613523736783,11.063629394801092,15.806180673533971,0.14701369333861358,0.13015167335064812,0.30900270871712426,1.0900270871712425,27.959837155506307
6,0.7581932055057046,0.8443869589556318,0.00035763586928292806,0.5164897657445899,938,0.7252897624835517,3.4703817429892885,13.01226125085906,13.378424407477775,0.13876492445392655,0.11923952857207519,0.29631631875272657,0.9631631875272656,27.3538488458641
6,0.7732574473583113,0.844053297136993,0.00046269360547022395,0.5539397886122644,948,0.6452969732537681,3.4999901703023104,13.176132803806382,13.117675849815555,0.112449235247081,0.13504434575135554,0.29271505867778735,0.9271505867778734,27.22095924039981
6,0.7745516817968666,0.7746023041423582,0.0002877683130996899,0.5122245057763106,958,0.7035666397490585,3.5126450738388844,11.834733697878816,13.252640742602777,0.13341911140118567,0.12398204066430127,0.3117244059605502,1.1172440596055018,26.204618500087093
6,0.8886842814213747,0.6957039533599063,0.00031279386187393074,0.534283668219561,965,0.7275252273316366,3.4711295652626477,10.921073163801314,16.701639602289106,0.1659812654652176,0.13813602799351782,0.287055821635,0.8705582163499997,28.493270982440418
6,0.7736781325310805,0.8139432152279575,0.0007537803769382292,0.48409981865273954,957,0.6792812624733559,3.485769128183579,14.119979803162718,13.277052975678123,0.12478384506474739,0.1300830752172041,0.2929753334881655,0.929753334881655,28.326786113722495
6,0.8372566001259089,0.8460118268659927,0.00028718709157434934,0.4986129848173821,948,0.6968047880732724,3.43801619356295,12.693898783538124,12.98456702825884,0.13674914415388528,0.12532489870789665,0.30535651132484526,1.0535651132484525,26.732030925045418
6,0.8830614168724507,0.7347237022324861,0.0003371347297524719,0.41462322184261174,948,0.7217650140106678,3.530370378473748,12.32632697248722,14.212122026199681,0.14489494377402956,0.11674043389874786,0.2911239063403835,0.9112390634038348,27.449688062090736
6,0.8504647371034775,0.8421613160283707,0.0002668598014794571,0.41968038859962015,945,0.7406429107293679,3.4310766129007346,9.939933155808996,17.56615646287881,0.17352797889045551,0.12795622664634132,0.3189831482743892,1.1898314827438923,28.695921101431694
6,0.7558167860374743,0.7686279362590329,0.0009379684313213173,0.3407728723940592,951,0.6833395860931224,3.410284026114635,14.63171546167617,16.204704955494286,0.13700436995972307,0.14544466030109487,0.3036826669446232,1.0368266694462318,31.87324708661669
6,0.7666159837246739,0.7484962662016149,0.001223382267567665,0.5194400867829535,964,0.7547169109970072,3.4702262130708332,11.993487688670715,13.970783438523569,0.13977617649741264,0.11976915076329266,0.2769019302145619,0.7690193021456188,26.733290429339903
6,0.7997300131684022,0.837582630542392,0.001127994726043589,0.4570218681568719,943,0.7126104027195488,3.3949655961134275,13.915082054807542,13.771963422739661,0.12086517697940931,0.13942159079476463,0.2953213683309725,0.9532136833097249,28.640259160856925
6,0.8929029013138794,0.7539108678464995,0.0006939121157289357,0.3905671244970914,960,0.7600278555073484,3.520714216754347,9.277652322202671,20.570586100226475,0.18916469455336746,0.14814193833149328,0.3717026440946585,1.7170264409465847,31.56526486337573
6,0.8275333613876936,0.8590644878330663,0.0004921658428948297,0.4859440294058408,963,0.7104009229130752,3.4258772190179965,12.359375219832005,12.563067535748944,0.13990870798725816,0.12076149678309073,0.27625243199886335,0.7625243199886333,25.68496707556958
