scenario,mode,model,AIC,BIC,max_loglik,abm::merge.p_merge,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_00_data_t71_phase2__p_merge_0p4__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1479.2792235257193,1490.7995489917403,-734.6396117628597,0.4,0.001,0.0002686385144862662,1684.314988519645,0.0409998057926725,0.1015233068987341,0.042469850608633807,,
abm_00_data_t71_phase2__p_merge_0p4__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1410.3246438969513,1424.1490344561764,-699.1623219484757,0.4,0.001,0.00026757737987522,1540.748515737727,0.039544539867181275,0.10860971578556025,0.02548369477078686,0.000861304467836362,
abm_00_data_t71_phase2__p_merge_0p4__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,940.1060054574288,956.234461109858,-463.0530027287144,0.4,0.001,0.0003399659292111823,1325.4881915043572,0.009460276675359617,0.009269241501089272,0.05135476229579597,0.0013621284935326165,0.005493459236692744
abm_01_data_t71_phase2__p_merge_0p5__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1449.3405545502537,1460.8608800162747,-719.6702772751269,0.5,0.001,0.00027260774577477485,1676.2898091002796,0.0411316208228468,0.09736128957050305,0.0356267425441531,,
abm_01_data_t71_phase2__p_merge_0p5__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1782.6688697464442,1796.4932603056693,-885.3344348732221,0.5,0.001,0.00023219811035972757,369.79378158613883,0.010255524333291114,0.2975228506986408,0.4386845715848342,0.014704071114131865,
abm_01_data_t71_phase2__p_merge_0p5__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,920.6802280401239,936.8086836925531,-453.34011402006195,0.5,0.001,0.00034496818325524867,1321.274641884286,0.009695669427795237,0.009979227750104893,0.04032860422613337,0.0013894627762888999,0.005473100559285191
abm_02_data_t71_phase2__p_merge_0p6__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1439.9199229569408,1451.4402484229618,-714.9599614784704,0.6,0.001,0.00027757434893403504,1528.8947818740774,0.03724375072917923,0.017228763141102943,0.19558840937448724,,
abm_02_data_t71_phase2__p_merge_0p6__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1441.9199229569438,1455.7443135161689,-714.9599614784719,0.6,0.001,0.0002775743493265214,1528.8947777332567,0.03724375245118825,0.017228763669832624,0.19558841806862495,0.0,
abm_02_data_t71_phase2__p_merge_0p6__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,1039.9514163702706,1056.0798720226999,-512.9757081851353,0.6,0.001,0.000341014992894797,1327.497430816925,0.01062974060265433,0.010215287891757494,0.07541594616623463,0.0013404334331427945,0.004448451837517194
abm_03_data_t71_phase2__p_merge_0p7__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1432.322503432373,1443.842828898394,-711.1612517161865,0.7,0.001,0.00027932180146281676,1530.7257489100014,0.0381215072486712,0.01779357877075875,0.17654733874611028,,
abm_03_data_t71_phase2__p_merge_0p7__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1747.7310630545899,1761.555453613815,-867.8655315272949,0.7,0.001,0.00024996510871777317,437.7984318422714,0.009616071377871165,0.26988218907720474,0.38352040960653283,0.01311153329445269,
abm_03_data_t71_phase2__p_merge_0p7__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,947.6212311640082,963.7496868164375,-466.8106155820041,0.7,0.001,0.00034687873682508533,1322.0570441044974,0.009700405273844621,0.008933905494934629,0.05086364071080088,0.001387458003754836,0.0047115327596639655
