step,num_clusters,mean_cluster_size,mean_squared_cluster_size
1,682.27,1.1868933950277254,1.5941117471157689
2,626.15,1.3085602886594467,2.076342947271821
3,589.29,1.4063077614104151,2.513220722513847
4,558.73,1.5002435934120932,2.960718373536571
5,533.55,1.588336074345477,3.422105455656832
6,511.53,1.6754971106929384,3.9048610724844726
7,491.89,1.7619621899484252,4.415494813476182
8,474.7,1.8449125533432857,4.925285678270889
9,458.73,1.9307965436919792,5.487874157160727
10,444.51,2.014786936483787,6.053523150116836
11,431.02,2.100491032212521,6.673703675987449
12,418.46,2.188017556461113,7.341048443097057
13,406.9,2.2759961876796835,8.049550539348836
14,395.65,2.3674670689161625,8.798091761205614
15,384.67,2.4610251805574754,9.606341740233272
16,374.39,2.5571453377753754,10.474174015113086
17,364.91,2.652131849934207,11.40662067849339
18,356.01,2.748305247201042,12.347463397462525
19,347.21,2.8496420297063234,13.401226663419552
20,339.24,2.9481442521711494,14.416619533323656
21,331.61,3.048392188775642,15.536243910255818
22,324.15,3.1531681411550414,16.745113139494546
23,317.3,3.2566248468244328,17.95912214860309
24,310.79,3.362343052101043,19.26286210507171
25,303.73,3.4794088941539805,20.752913855074535
26,297.8,3.5895978131571566,22.185751913843543
27,292.05,3.7017394900966822,23.71096114914331
28,286.45,3.81340551032567,25.256720464350888
29,280.95,3.932401542408059,27.023605717470346
30,275.7,4.049782738799226,28.82088439806042
31,270.78,4.1676672695446255,30.66318483824819
32,265.63,4.296678431395507,32.66450485422256
33,261.15,4.419081626447766,34.757301119176056
34,256.34,4.551508097387782,36.96364551596926
35,251.82,4.682453215060544,39.20351540556945
36,247.47,4.818166669475491,41.64227993694357
37,243.52,4.94998923526576,44.01722855492928
38,239.73,5.081949282783505,46.48071102673587
39,235.87,5.223023069619597,49.23111882357652
40,232.15,5.364074873782251,52.142108997152455
41,228.5,5.512093761679704,55.164902448555296
42,224.7,5.668529160818598,58.53074064203459
43,220.98,5.830191215201807,61.96705165277123
44,217.59,5.9842288781639095,65.34159826761459
45,214.32,6.145518248743156,69.06976321669187
46,211.09,6.3089749551359295,73.04765863528539
47,207.73,6.479238297523761,77.09838525243248
48,204.43,6.65589743535684,81.2945701156128
49,201.74,6.818548313143685,85.72601119019535
50,199.08,6.986859527744761,90.41250260094779
51,196.31,7.1636421068112694,95.16496230261126
52,193.64,7.342925296612076,100.28497375853436
53,190.97,7.523541063886933,105.5308039746262
54,187.97,7.7275147116896585,111.44475093974765
55,185.36,7.923321745100477,117.22111573071342
56,183.07,8.114359002879997,123.14297407500331
57,180.57,8.318158513309989,129.38969269847206
58,178.2,8.524033682675313,135.85733518968448
59,176.27,8.71077807823831,142.29433869764165
60,173.82,8.935523868695165,149.94936102056604
61,171.29,9.164744441488203,157.81245094120925
62,169.11,9.383793309692983,166.011918894008
63,166.78,9.622359664462405,174.54953070060841
64,164.5,9.865799733328835,183.28796485616297
65,162.13,10.12233001396154,193.13622952410907
66,159.82,10.382385004209755,203.56339188951043
67,158.05,10.609476898008761,212.92442970145083
68,156.05,10.862403743999186,223.78372804788052
69,154.12,11.11814879204025,234.19193074171065
70,152.21,11.380308380297542,245.24945698506536
71,150.43,11.644048753403624,256.9421002440923
72,148.88,11.895598738224441,268.0622646280455
73,147.09,12.172083400068411,280.76662120151235
74,145.48,12.438435679344535,293.6912263464703
75,143.63,12.744645228194688,308.32313586071615
76,141.91,13.041922432870814,323.19814984370817
77,140.34,13.33238444265924,337.96635012425185
78,138.61,13.643764588286892,353.76974280304125
79,137.03,13.957697585413191,370.67074426858414
80,135.52,14.268979774999387,387.09079325100504
81,133.96,14.594327748620785,405.61478482196173
82,132.63,14.900452559172807,422.83692016008484
83,131.21,15.229858789284517,442.2119879975466
84,129.79,15.565609371027751,461.4537238883612
85,128.49,15.895874307304236,482.5630747188232
86,127.28,16.221745371663097,502.7005577587981
87,125.96,16.57003766389929,524.7738180915516
88,124.67,16.929115251577812,546.7143825910208
89,123.2,17.318384995423795,572.6609281942086
90,122.16,17.663645351058534,597.0906679642217
91,120.92,18.04626320658539,624.0854956203076
92,119.54,18.454814577147253,653.7466435868608
93,118.22,18.87239317085095,682.68683898825
94,116.94,19.285621392059717,711.9066003753392
95,115.53,19.735892443444477,745.0178105252306
96,114.39,20.152875496572413,775.573751030293
97,113.32,20.574569861279738,808.8230109669311
98,111.92,21.064856811118197,847.5639253698974
99,110.68,21.535581758819532,886.533972924719
100,109.51,21.99840674529349,924.0795043270577
101,108.35,22.475757854835873,967.1850862987105
102,107.33,22.938559083281334,1007.8172172000865
103,106.58,23.353483960338348,1047.17410957545
104,105.69,23.813296094032548,1088.0023340564567
105,104.7,24.30021163405892,1134.1896826484806
106,103.66,24.80996093652475,1183.1613919033691
107,102.72,25.315975148906883,1229.7831469187431
108,101.7,25.846324697409663,1287.3824240607216
109,100.62,26.413863274924708,1340.1606949308805
110,99.39,27.026721651669206,1401.5800541236945
111,98.27,27.638805077426927,1464.6801777345847
112,97.4,28.19023806913856,1522.724187280699
113,96.37,28.804828051657235,1587.4827636690402
114,95.55,29.367336522206514,1645.9333120516917
115,94.67,29.948692078122175,1708.0853886967266
116,93.75,30.575286884398295,1778.08961080684
117,92.93,31.19181525773888,1848.941783974054
118,92.03,31.824196146116222,1922.3047677977852
119,91.22,32.44126255825518,1999.5108310189578
120,90.44,33.06163131163491,2076.7516131393077
121,89.56,33.74734305490965,2160.5577058515364
122,88.85,34.3787073588294,2237.9193828720945
123,87.98,35.07673843645948,2325.8766683907234
124,87.23,35.74335494395808,2414.7633612218838
125,86.54,36.404644913579396,2509.439256357855
126,85.7,37.14517898358416,2616.598687914646
127,84.95,37.85968946240893,2712.2835202359124
128,84.27,38.56056208870873,2812.38646234133
129,83.61,39.266149717328716,2916.018468062819
130,82.94,39.99213692860697,3018.221547119686
131,82.4,40.66871280647784,3120.5402786736527
132,81.83,41.37338578600488,3224.7331479816144
133,81.21,42.10547801092021,3338.2705680069525
134,80.46,42.92945786259495,3455.0140792806255
135,79.76,43.73765760489584,3579.184782048449
136,79.01,44.58429476474139,3705.5430866194843
137,78.4,45.37338256334718,3829.790951492404
138,77.93,46.09158239183017,3945.028835117463
139,77.18,46.99633710341132,4085.0379953666775
140,76.48,47.87643301936305,4229.809824316495
141,75.69,48.84963789098284,4400.951578139897
142,75.17,49.655431690311055,4533.969673461151
143,74.55,50.537968929115806,4688.836567151146
144,74.03,51.3798410200555,4833.951471164212
