parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.5445999999999999,0.27232644158238567
fragment_rate,INV,PRO,0.5176,0.2786655752472691
merge_prob,INV,PRO,0.4502000000000001,0.3640757679320893
prolif_rate,INV,PRO,0.0,0.9999999999610474
speed_scale,INV,PRO,0.2673999999999997,0.573747624427663
speed_shape,INV,PRO,0.3452,0.5003989269518827
