p,a,y_win_grid
0.1,0.5,2.3336281860922905e-05
0.10756302521008404,0.5,2.424419296829328e-05
0.11512605042016807,0.5,2.5152104075663658e-05
0.12268907563025211,0.5,2.606001518303403e-05
0.13025210084033614,0.5,2.6967926290404407e-05
0.13781512605042018,0.5,2.7875837397774783e-05
0.1453781512605042,0.5,2.878374850514516e-05
0.15294117647058825,0.5,2.969165961251553e-05
0.16050420168067228,0.5,3.059957071988591e-05
0.16806722689075632,0.5,3.1507481827256284e-05
0.17563025210084032,0.5,3.241539293462665e-05
0.18319327731092439,0.5,3.3323304041997036e-05
0.1907563025210084,0.5,3.42312151493674e-05
0.19831932773109245,0.5,3.513912625673778e-05
0.20588235294117646,0.5,3.573809448879356e-05
0.21344537815126052,0.5,3.624879332790232e-05
0.22100840336134453,0.5,3.675949216701108e-05
0.22857142857142856,0.5,3.7270191006119837e-05
0.2361344537815126,0.5,3.77808898452286e-05
0.24369747899159663,0.5,3.829158868433736e-05
0.25126050420168067,0.5,3.880228752344611e-05
0.2588235294117647,0.5,3.9312986362554865e-05
0.26638655462184874,0.5,3.9823685201663625e-05
0.2739495798319328,0.5,4.0334384040772386e-05
0.2815126050420168,0.5,4.0845082879881146e-05
0.2890756302521008,0.5,4.13557817189899e-05
0.2966386554621849,0.5,4.186648055809866e-05
0.30420168067226894,0.5,4.22538453033992e-05
0.31176470588235294,0.5,4.254254277365318e-05
0.31932773109243695,0.5,4.2831240243907156e-05
0.326890756302521,0.5,4.3119937714161127e-05
0.3344537815126051,0.5,4.3408635184415104e-05
0.3420168067226891,0.5,4.3697332654669075e-05
0.3495798319327731,0.5,4.398603012492305e-05
0.3571428571428571,0.5,4.427472759517703e-05
0.3647058823529412,0.5,4.4563425065431014e-05
0.3722689075630252,0.5,4.4852122535684985e-05
0.3798319327731092,0.5,4.514082000593896e-05
0.38739495798319323,0.5,4.542951747619293e-05
0.39495798319327735,0.5,4.571821494644691e-05
0.40252100840336136,0.5,4.5971729355379244e-05
0.41008403361344536,0.5,4.6154877641668296e-05
0.41764705882352937,0.5,4.6338025927957354e-05
0.4252100840336135,0.5,4.6521174214246406e-05
0.4327731092436975,0.5,4.670432250053546e-05
0.4403361344537815,0.5,4.688747078682451e-05
0.4478991596638655,0.5,4.7070619073113555e-05
0.4554621848739496,0.5,4.725376735940261e-05
0.46302521008403363,0.5,4.7436915645691665e-05
0.47058823529411764,0.5,4.762006393198071e-05
0.47815126050420165,0.5,4.780321221826977e-05
0.48571428571428577,0.5,4.798636050455882e-05
0.49327731092436977,0.5,4.816950879084787e-05
0.5008403361344538,0.5,4.833621729914491e-05
0.5084033613445378,0.5,4.837140758350584e-05
0.5159663865546219,0.5,4.840659786786677e-05
0.5235294117647059,0.5,4.84417881522277e-05
0.5310924369747899,0.5,4.847697843658863e-05
0.5386554621848739,0.5,4.851216872094956e-05
0.546218487394958,0.5,4.8547359005310487e-05
0.553781512605042,0.5,4.858254928967142e-05
0.561344537815126,0.5,4.8617739574032345e-05
0.5689075630252101,0.5,4.8652929858393274e-05
0.5764705882352942,0.5,4.868812014275421e-05
0.5840336134453782,0.5,4.872331042711513e-05
0.5915966386554622,0.5,4.875850071147606e-05
0.5991596638655462,0.5,4.879369099583699e-05
0.6067226890756302,0.5,4.891986142615405e-05
0.6142857142857142,0.5,4.9057404374715626e-05
