fragment_rate,p_merge,n_init,avg_fit,best_fit
0.0,0.4,600,2.421525960314131,1.9894419361966253
0.0,0.4,800,1.4009922621775623,1.093615596493481
0.0,0.4,1000,1.8279870037389636,1.336274207991199
0.0,0.6,600,2.124511571547221,1.7264875827814592
0.0,0.6,800,1.26216284982979,1.0847221132350482
0.0,0.6,1000,2.728494095931067,1.7730799336252452
0.0,0.8,600,1.9462481424928932,1.4424656532862015
0.0,0.8,800,1.438094365168797,1.074254182187415
0.0,0.8,1000,3.4290366321839088,2.021784519511515
0.0,1.0,600,1.8856384700254845,1.4396064356491338
0.0,1.0,800,1.6763646966212784,1.164694296038243
0.0,1.0,1000,3.8399980858941443,2.5632342397127608
0.001,0.4,600,2.46417188684009,2.0746292644795887
0.001,0.4,800,1.418890336981955,1.1378632389245458
0.001,0.4,1000,1.7865150724948375,1.2934437070433735
0.001,0.6,600,2.170178709798382,1.770997504914626
0.001,0.6,800,1.29880497241469,1.0589990946595609
0.001,0.6,1000,2.6298849594294116,1.7536326805815659
0.001,0.8,600,2.0129366497133536,1.6229685906223839
0.001,0.8,800,1.4384481045198907,1.1013266570602684
0.001,0.8,1000,3.2230349187728042,1.8619244107437636
0.001,1.0,600,1.979645392823767,1.4674123965042976
0.001,1.0,800,1.5879920793637574,1.1359542176653121
0.001,1.0,1000,4.00153320013124,2.778134183767633
0.002,0.4,600,2.5391868883060567,2.1185755659496666
0.002,0.4,800,1.5324138451139333,1.1403560612179975
0.002,0.4,1000,1.7111926898576777,1.362893847865597
0.002,0.6,600,2.2292662836860067,1.7046885278978785
0.002,0.6,800,1.245655425256067,1.0464017330119926
0.002,0.6,1000,2.664157010152631,1.8993347306129458
0.002,0.8,600,2.016897100892478,1.4932639898589466
0.002,0.8,800,1.3540664770758308,1.0576489952516288
0.002,0.8,1000,3.3010133726047313,2.4180548061025964
0.002,1.0,600,1.9318183825886655,1.5413387662099896
0.002,1.0,800,1.5375900052522065,1.2124099425623405
0.002,1.0,1000,3.7856265137042233,2.634305242687646
0.004,0.4,600,2.6499271172086947,2.0216878012377317
0.004,0.4,800,1.6369597948330565,1.2190023101692615
0.004,0.4,1000,1.688773707071432,1.3446795144767993
0.004,0.6,600,2.279163164975123,1.7110294391547058
0.004,0.6,800,1.3241950884998035,1.0883156365852786
0.004,0.6,1000,2.5012521677727206,1.7155665977741137
0.004,0.8,600,2.147133130845611,1.7082751979217576
0.004,0.8,800,1.3575939057743118,1.1200247245664288
0.004,0.8,1000,3.0960510387114577,1.852479179036059
0.004,1.0,600,1.9865787771294376,1.5755956601569658
0.004,1.0,800,1.4813844345974292,1.1767898379047914
0.004,1.0,1000,3.5177168896889395,2.4615481667922627
