fragment_rate,p_merge,n_init,avg_fit,best_fit
0.0,0.4,600,894.0911239681423,676.7219847396798
0.0,0.4,800,427.99893573786767,234.61609496768352
0.0,0.4,1000,702.6369974187833,352.33122594912214
0.0,0.6,600,788.081886642321,572.4578646067562
0.0,0.6,800,423.0726234763452,277.6947075765056
0.0,0.6,1000,1197.3583382941104,501.29234861243555
0.0,0.8,600,739.1738780724554,547.3744764748714
0.0,0.8,800,518.4740517982741,360.51426505117786
0.0,0.8,1000,1445.617335181142,868.0791109086822
0.0,1.0,600,732.7499846033446,560.3829461954771
0.0,1.0,800,588.7220892369468,366.7665834777985
0.0,1.0,1000,1724.7113979737253,994.261684739293
0.001,0.4,600,913.5553377925269,730.8944156337532
0.001,0.4,800,432.5206038487365,280.5082005133701
0.001,0.4,1000,664.6962969972014,330.1324068159865
0.001,0.6,600,799.3925235488017,542.9031125814352
0.001,0.6,800,404.2823652415274,277.9827053181888
0.001,0.6,1000,1066.7868853930097,507.72011634457255
0.001,0.8,600,755.4358506058608,530.4334671784977
0.001,0.8,800,498.4738936879921,357.55955611446234
0.001,0.8,1000,1413.2180136305549,649.645480941747
0.001,1.0,600,738.970416791069,495.959327353676
0.001,1.0,800,554.8945592780906,374.73516392572344
0.001,1.0,1000,1696.8139619682604,938.7701540657936
0.002,0.4,600,916.0234537567055,655.5598405140059
0.002,0.4,800,455.00671076272613,274.92119213419096
0.002,0.4,1000,649.5837962967282,323.8303192006254
0.002,0.6,600,830.607544173856,520.0114294452435
0.002,0.6,800,416.4105335987167,261.0883011490179
0.002,0.6,1000,1097.2914480755528,486.5671504418748
0.002,0.8,600,777.1224324426071,551.1448797044876
0.002,0.8,800,476.772787238019,329.16396624064305
0.002,0.8,1000,1295.2533755826528,638.5034130837905
0.002,1.0,600,745.1999309330395,532.6205890667736
0.002,1.0,800,571.8651933798352,402.77567444148445
0.002,1.0,1000,1597.0501657761642,834.5511448258546
0.004,0.4,600,940.9261159150453,667.6752942959733
0.004,0.4,800,491.833895604883,266.91088944356903
0.004,0.4,1000,566.6972163558492,310.9602478766697
0.004,0.6,600,830.6341210266896,577.5844207948649
0.004,0.6,800,406.82417550644806,274.25909701838947
0.004,0.6,1000,1022.9909104927059,420.6610220742485
0.004,0.8,600,802.6778392409557,510.4555998357722
0.004,0.8,800,468.13859089510385,341.16303433845457
0.004,0.8,1000,1319.0133387249668,645.6499227124679
0.004,1.0,600,740.075101192721,547.7128445263448
0.004,1.0,800,538.0709282868321,350.0481661134142
0.004,1.0,1000,1555.1284905644432,717.768516707074
