replicate,steps,median_nonvar,median_var,mean_nonvar,mean_var,iqr_nonvar,iqr_var,delta_median
0,300,43.69177923191419,44.35745617636272,44.09310662809569,44.49278736474187,13.191882829338674,14.78435400989732,0.6656769444485278
1,300,43.77556156634535,44.11874701022903,44.31851104895826,44.990958793496425,13.819066843129669,11.384167738055787,0.34318544388367656
2,300,44.077724201353654,42.72534535068394,44.57257495072358,43.530295299572856,15.805663788901036,13.340252033245264,-1.3523788506697159
3,300,43.5910116105864,44.45540451734819,44.74549220534909,44.47059298873893,14.70730158696837,17.21684347863895,0.8643929067617933
4,300,44.0831770789729,42.24888547377251,44.23148817088364,42.9642397715659,13.962944132725198,13.509818895626672,-1.8342916052003915
5,300,44.22213356334895,42.69761742357155,44.81908977602005,44.03122386508516,14.622422968175556,14.824051121512198,-1.524516139777397
6,300,41.88190676924786,43.29761227570997,44.08434093775871,43.09750118727628,15.126935300939373,13.367000110038902,1.4157055064621105
7,300,45.73339880874819,44.428633889977455,46.23397745529566,44.00658036609183,13.47184036569687,13.687415643265624,-1.3047649187707364
8,300,41.724022375994906,44.164659412473696,42.685098963545904,45.17112493761418,12.537598679553788,13.793968210498733,2.4406370364787904
9,300,44.578080712318766,41.66052762093789,45.3612315774587,43.378573445878274,16.058981511185195,14.806006486038925,-2.9175530913808743
10,300,44.7589819585135,44.957992462711594,44.50625530113049,45.17124181274017,14.244634613306161,15.654635925308028,0.19901050419809252
11,300,45.39800192757161,43.66935659208252,45.18614071267172,43.87778272939249,16.00523705565061,13.445285919451386,-1.728645335489091
12,300,43.97426046181331,42.14304266629252,44.28555946375788,42.94075695602007,12.593160769295984,14.18773189440735,-1.8312177955207858
13,300,45.680720210579395,43.48342140129495,45.86842180233697,43.755077653389215,13.625527040809011,14.173604896374314,-2.1972988092844474
14,300,43.65262124822009,43.271028112418506,45.10662545918634,44.58086390363854,15.222078447190931,15.998754904746129,-0.3815931358015874
15,300,45.93374697332522,43.30047206728778,45.88915342580823,43.746243746926055,15.83673842994849,13.391453809862817,-2.6332749060374425
16,300,43.751163160272085,44.80332060820767,45.45872424446956,44.477134305858826,13.351957216405388,15.077136839730066,1.0521574479355849
17,300,41.31199936700301,43.91751217663237,42.609905361378,44.255021851637416,16.71527501663286,14.954604031054934,2.60551280962936
18,300,43.63286569797235,42.07890553643543,44.37743435341154,42.01670790649662,14.870578590070899,12.633142491783545,-1.5539601615369207
19,300,43.897684786015844,42.832103640268684,44.09704107923384,43.976902514895094,16.03439425254694,14.319240382974527,-1.06558114574716
20,300,43.21260356754071,43.48520561409667,43.77748458998323,44.678566050482836,13.43087768965838,15.431851105640455,0.27260204655596
21,300,44.14119288829548,43.799017304983174,43.864087473914026,43.96974369106768,14.601089727251086,14.04931150281216,-0.34217558331230435
22,300,42.796026599364396,45.71736233979462,42.882104433868435,45.850055982224895,14.84031847937721,15.431769420303802,2.921335740430223
23,300,42.628291489584996,43.58259226862503,44.370379498153085,43.383048162257886,15.62021016416378,16.11286558561069,0.9543007790400324
24,300,45.12775498613604,42.65175337358552,45.75806625296762,43.433225507274294,16.884422180287864,14.716451682197153,-2.476001612550519
25,300,45.7066468235541,47.107676526025756,45.288214090332666,46.778595148578134,17.097293245356923,15.614313136294363,1.4010297024716536
26,300,43.3487724875814,45.56360686040375,44.053585946476886,45.49413225258889,13.247558841320846,18.06275725179532,2.2148343728223523
