parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.4645999999999999,0.33328810294126
fragment_rate,INV,PRO,0.49940000000000007,0.265337327246594
heading_sigma,INV,PRO,0.5341999999999998,0.22368341145595874
merge_prob,INV,PRO,0.46299999999999986,0.3183134272722877
prolif_rate,INV,PRO,0.0,0.9999999999617688
speed_scale,INV,PRO,0.0,0.9999999999653754
speed_shape,INV,PRO,0.4482000000000002,0.3424758772677693
