db,motion,speed,t,epsilon
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,-1,inf
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,0,42.85326383504029
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,1,29.38522903524163
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,2,24.76442475929279
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,3,23.161824707176994
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,4,22.340997909896046
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,5,21.676188933872947
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,6,21.240750587891913
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,7,20.523911808364325
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,8,20.26168080525871
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,9,20.07003947649964
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,10,19.837460502736267
results/abc_INV_ABM_ready_summary_isotropic_constant_seed42_20260117_014108.db,isotropic,constant,11,19.638827195377424
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,-1,inf
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,0,33.3018962001396
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,1,26.006920216637553
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,2,23.026861305944575
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,3,22.032648152315314
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,4,20.930213663558064
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,5,20.270807022676983
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,6,19.7061816474785
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,7,19.187613338950573
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,8,18.936173622053712
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,9,18.730574671335983
results/abc_INV_ABM_ready_summary_isotropic_gamma_seed42_20260117_014108.db,isotropic,gamma,10,18.385934565367855
