parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.39640000000000014,0.46058670897656906
fragment_rate,INV,PRO,0.554,0.24204201744958298
heading_sigma,INV,PRO,0.48579999999999984,0.29544956770966535
merge_prob,INV,PRO,0.41060000000000013,0.4002781157871783
prolif_rate,INV,PRO,0.007199999999999989,0.9836300748273213
speed_meanlog,INV,PRO,0.37780000000000014,0.44864082417013057
speed_sdlog,INV,PRO,0.4311999999999997,0.36540191410090805
