model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_cst_shed,7,-738.7824734185135,1491.564946837027,0.0,1.0
Cell_num_prolif_no_shed,6,-820.3878112249522,1652.7756224499044,161.21067561287737,9.852503066689031e-36
no_prolif_no_shed,5,-1045.8184173739814,2101.636834747963,610.0718879109359,3.346360752293309e-133
